SMILES,Solvent,AM,EM,QY,AC,ST,LGAC,Et30,SP,SdP,SA,SB
COc1cc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)c(OC)cc1/C=C/c1nc2ccccc2[nH]1,CC#N,398,457.0,0.43,64600.0,59.0,4.8102,45.6,0.645,0.974,0.044,0.286
C(=C/c1nc2ccccc2[nH]1)\c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,C1CCOC1,381,444.0,0.11,134500.0,63.0,5.1287,37.4,0.714,0.634,0.0,0.591
CN1C(=O)c2cccc3c(-n4c5ccccc5c5ccccc54)ccc(c23)C1=O,C(Cl)(Cl)Cl,404,489.0,0.204,,85.0,,39.1,0.783,0.614,0.047,0.071
CC1(C)c2ccccc2N(c2ccc(-c3cc(CN)c(CN)cc3-c3ccc(N4c5ccccc5C(C)(C)c5ccccc54)cc3)cc2)c2ccccc21,CC1=CC=CC=C1,384,532.0,0.59,,148.0,,33.9,0.782,0.284,0.0,0.128
COc1cc(OC)cc(C2=[O+][B-](F)(F)OC(c3ccc4ccccc4c3)=C2)c1,C(Cl)Cl,402,560.0,0.05,35200.0,158.0,4.5465,40.7,0.761,0.769,0.04,0.178
F[B-]1(F)n2c3[n+](c4ccccc42)[B-](F)(F)n2c(cc4c2CCCC4)C3=C2C=C3CCCCC3=[N+]21,C(Cl)Cl,622,633.0,0.78,,11.0,,40.7,0.761,0.769,0.04,0.178
Cc1ccc2nc(/C=C/c3ccc(N(C)C)cc3)c(-c3ccccc3)nc2c1,CC#N,433,614.0,0.04,28500.0,181.0,4.4548,45.6,0.645,0.974,0.044,0.286
Cc1ccc2nc(/C=C/c3ccc(N(C)C)cc3)c(-c3ccccc3)nc2c1,C(Cl)Cl,436,571.0,0.18,28800.0,135.0,4.4594,40.7,0.761,0.769,0.04,0.178
CN(C)c1ccc(/C=C/c2nc3ccc(Br)cc3nc2-c2ccccc2)cc1,C1COCCO1,445,555.0,0.19,24800.0,110.0,4.3945,36.0,0.737,0.312,0.0,0.444
CN(C)c1ccc(/C=C/c2nc3ccc(Br)cc3nc2-c2ccccc2)cc1,CC#N,448,648.0,0.01,27500.0,200.0,4.4393,45.6,0.645,0.974,0.044,0.286
CN(C)c1ccc(/C=C/c2nc3cc(Br)ccc3nc2-c2ccccc2)cc1,C1COCCO1,445,555.0,0.14,26500.0,110.0,4.4232,36.0,0.737,0.312,0.0,0.444
CN(C)c1ccc(/C=C/c2nc3cc(Br)ccc3nc2-c2ccccc2)cc1,CC#N,448,643.0,0.01,27700.0,195.0,4.4425,45.6,0.645,0.974,0.044,0.286
CN(C)c1ccc(/C=C/c2nc3cc(Br)ccc3nc2-c2ccccc2)cc1,C(Cl)Cl,453,601.0,0.17,27900.0,148.0,4.4456,40.7,0.761,0.769,0.04,0.178
Cc1ccc2nc(/C=C/c3ccc(N(C)C)cc3)c(-c3ccccc3)nc2c1,C1COCCO1,430,528.0,0.13,29100.0,98.0,4.4639,36.0,0.737,0.312,0.0,0.444
CN(C)c1ccc(/C=C/c2nc3ccc(Br)cc3nc2-c2ccccc2)cc1,C(Cl)Cl,453,602.0,0.17,27500.0,149.0,4.4393,40.7,0.761,0.769,0.04,0.178
CN(C)c1ccc(-c2ccc(-c3ccc(N(C)C)cc3)c3nc(-c4ccccc4)c(-c4ccccc4)nc23)cc1,C(Cl)(Cl)Cl,443,597.0,0.3,,154.0,,39.1,0.783,0.614,0.047,0.071
CN(C)c1ccc2c(c1)C(=O)NC2=O,CC#N,388,490.0,0.12,,102.0,,45.6,0.645,0.974,0.044,0.286
CN(C)c1ccc2c(c1)C(=O)NC2=O,C1COCCO1,378,457.0,0.62,,79.0,,36.0,0.737,0.312,0.0,0.444
Nc1ccc2c(c1)C(=O)NC2=O,C1COCCO1,352,435.0,0.73,,83.0,,36.0,0.737,0.312,0.0,0.444
CN(C)c1ccc2c(c1)C(=O)NC2=O,C1CCOC1,377,459.0,0.52,,82.0,,37.4,0.714,0.634,0.0,0.591
Nc1ccc2c(c1)C(=O)NC2=O,CC#N,357,458.0,0.63,,101.0,,45.6,0.645,0.974,0.044,0.286
Nc1ccc2c(c1)C(=O)NC2=O,C1CCOC1,357,445.0,0.7,,88.0,,37.4,0.714,0.634,0.0,0.591
Nc1ccc2c(c1)C(=O)NC2=O,CC(=O)C,357,457.0,0.68,,100.0,,42.2,0.651,0.907,0.0,0.475
CN(C)c1ccc2c(c1)C(=O)NC2=O,CC(=O)C,382,483.0,0.17,,101.0,,42.2,0.651,0.907,0.0,0.475
FC(F)(F)c1ccc(/C2=C3/N=C(C(c4ccccc4)=C3c3ccccc3)/C(c3ccc(C(F)(F)F)cc3)=c3\[nH]/c(c(-c4ccccc4)c3-c3ccccc3)=C(/c3ccc(C(F)(F)F)cc3)C3=N/C(=C(/c4ccc(C(F)(F)F)cc4)c4[nH]c2c(-c2ccccc2)c4-c2ccccc2)C(c2ccccc2)=C3c2ccccc2)cc1,C(Cl)Cl,708,730.0,0.006,,22.0,,40.7,0.761,0.769,0.04,0.178
Cc1ccc(/C2=C3/N=C(C(c4ccccc4)=C3c3ccccc3)/C(c3ccc(C)cc3)=c3\[nH]/c(c(-c4ccccc4)c3-c3ccccc3)=C(/c3ccc(C)cc3)C3=N/C(=C(/c4ccc(C)cc4)c4[nH]c2c(-c2ccccc2)c4-c2ccccc2)C(c2ccccc2)=C3c2ccccc2)cc1,C(Cl)Cl,721,768.0,0.008,,47.0,,40.7,0.761,0.769,0.04,0.178
NCc1ccc(/C2=C3/N=C(C(c4ccccc4)=C3c3ccccc3)/C(c3ccc(CN)cc3)=c3\[nH]/c(c(-c4ccccc4)c3-c3ccccc3)=C(/c3ccc(CN)cc3)C3=N/C(=C(/c4ccc(CN)cc4)c4[nH]c2c(-c2ccccc2)c4-c2ccccc2)C(c2ccccc2)=C3c2ccccc2)cc1,C(Cl)Cl,704,725.0,0.004,,21.0,,40.7,0.761,0.769,0.04,0.178
c1ccc(-p2c3ccccc3c3sc4ccccc4c32)cc1,C(Cl)Cl,317,421.0,0.24,28184.0,104.0,4.45,40.7,0.761,0.769,0.04,0.178
Cc1cccc(-c2nc3sc4ccccc4c3s2)c1,CS(=O)C,348,412.0,0.84,20600.0,64.0,4.3139,45.1,0.83,1.0,0.072,0.647
Clc1ccccc1-c1nc2sc3ccccc3c2s1,CS(=O)C,347,412.0,0.48,12240.0,65.0,4.0878,45.1,0.83,1.0,0.072,0.647
Brc1ccc(-c2nc3sc4ccccc4c3s2)cc1,CS(=O)C,353,420.0,0.88,22660.0,67.0,4.3553,45.1,0.83,1.0,0.072,0.647
COc1cc2sc3nc(-c4ccccc4OC)sc3c2cc1OC,CS(=O)C,365,438.0,0.76,32800.0,73.0,4.5159,45.1,0.83,1.0,0.072,0.647
Cc1ccc(-c2nc3sc4ccccc4c3s2)cc1,CS(=O)C,349,410.0,0.89,24880.0,61.0,4.3959,45.1,0.83,1.0,0.072,0.647
COc1cc(-c2nc3sc4ccccc4c3s2)cc(OC)c1OC,CS(=O)C,358,424.0,0.6,26520.0,66.0,4.4236,45.1,0.83,1.0,0.072,0.647
COc1cccc(-c2nc3sc4ccccc4c3s2)c1,CS(=O)C,350,412.0,0.62,23570.0,62.0,4.3724,45.1,0.83,1.0,0.072,0.647
Clc1ccc(-c2nc3sc4ccccc4c3s2)cc1,CS(=O)C,351,418.0,0.88,15760.0,67.0,4.1976,45.1,0.83,1.0,0.072,0.647
Clc1cccc(-c2nc3sc4ccccc4c3s2)c1,CS(=O)C,351,420.0,0.8,22000.0,69.0,4.3424,45.1,0.83,1.0,0.072,0.647
Fc1ccccc1-c1nc2sc3ccccc3c2s1,CS(=O)C,344,407.0,0.64,27180.0,63.0,4.4342,45.1,0.83,1.0,0.072,0.647
Fc1ccc2sc3nc(-c4ccccc4)sc3c2c1,CS(=O)C,345,409.0,0.91,23360.0,64.0,4.3685,45.1,0.83,1.0,0.072,0.647
CSc1ccc(-c2nc3sc4ccccc4c3s2)cc1,CS(=O)C,365,431.0,0.86,35960.0,66.0,4.5558,45.1,0.83,1.0,0.072,0.647
COc1cc2sc3nc(-c4ccccc4)sc3c2cc1OC,CS(=O)C,360,446.0,0.52,10170.0,86.0,4.0073,45.1,0.83,1.0,0.072,0.647
CCCCCCn1c2ccccc2c2cc(/C=C(/CN)c3ccc(C=C4C(=O)NC(=O)NC4=O)s3)ccc21,C(Cl)(Cl)Cl,524,624.0,0.59,,100.0,,39.1,0.783,0.614,0.047,0.071
c1ccc(N(c2ccccc2)c2ccc(-c3ncc(-c4ccc(-c5ccc(-c6cnc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)s6)s5)s4)s3)cc2)cc1,CO,425,509.0,0.16,46500.0,84.0,4.6675,55.4,0.608,0.904,0.605,0.545
COc1cc2cc(OC)c(-c3ccc([N+](=O)[O-])cc3)cc2cc1-c1ccc([N+](=O)[O-])cc1,C(Cl)Cl,337,578.0,0.009,,241.0,,40.7,0.761,0.769,0.04,0.178
COc1cc2cc(OC)c(-c3ccc([N+](=O)[O-])cc3)cc2cc1-c1ccc([N+](=O)[O-])cc1,C(Cl)(Cl)Cl,336,544.0,0.01,,208.0,,39.1,0.783,0.614,0.047,0.071
CCCCC(CC)COc1ccc(-n2c3ccccc3c3ccc(-c4ccc(-c5ccc(C=C(CN)C(=O)O)s5)c5nsnc45)cc32)cc1,C1CCOC1,461,557.0,0.71,,96.0,,37.4,0.714,0.634,0.0,0.591
NCC(=Cc1ccc(-c2ccc(-c3ccc4c5ccccc5n(-c5ccccc5)c4c3)c3nsnc23)s1)C(=O)O,C1CCOC1,459,560.0,0.73,,101.0,,37.4,0.714,0.634,0.0,0.591
O=c1oc2cc3ccccc3cc2nc1-c1ccccc1,C1CCCCC1,356,514.0,0.003,,158.0,,30.9,0.683,0.0,0.0,0.073
O=c1oc2cc3ccccc3cc2nc1-c1ccccc1,CC#N,348,538.0,0.003,24140.0,190.0,4.3827,45.6,0.645,0.974,0.044,0.286
O=c1oc2cc3ccccc3cc2nc1-c1ccccc1,CCCCCC,350,500.0,0.003,23290.0,150.0,4.3672,31.0,0.616,0.0,0.0,0.056
O=c1oc2cc3ccccc3cc2nc1-c1ccccc1,CO,346,548.0,0.003,23630.0,202.0,4.3735,55.4,0.608,0.904,0.605,0.545
c1ccc(-c2nn(-c3ccccc3)c3nc4ccc(N(c5ccccc5)c5ccccc5)cc4cc23)cc1,CC(=O)C,448,551.0,0.59,9540.0,103.0,3.9795,42.2,0.651,0.907,0.0,0.475
c1ccc(-c2nn(-c3ccccc3)c3nc4ccc(N(c5ccccc5)c5ccccc5)cc4cc23)cc1,CN(C)C=O,450,567.0,0.5,6640.0,117.0,3.8222,43.2,0.759,0.977,0.031,0.613
c1ccc(-c2nn(-c3ccccc3)c3nc4ccc(N(c5ccccc5)c5ccccc5)cc4cc23)cc1,CC#N,447,571.0,0.46,7360.0,124.0,3.8669,45.6,0.645,0.974,0.044,0.286
c1ccc(-c2nn(-c3ccccc3)c3nc4ccc(N(c5ccccc5)c5ccccc5)cc4cc23)cc1,C1CCOC1,450,525.0,0.7,7840.0,75.0,3.8943,37.4,0.714,0.634,0.0,0.591
c1ccc(-c2nn(-c3ccccc3)c3nc4ccc(N(c5ccccc5)c5ccccc5)cc4cc23)cc1,C1CCCCC1,452,487.0,0.76,8660.0,35.0,3.9375,30.9,0.683,0.0,0.0,0.073
CCCCCCSC1=C(SCCCCCC)SC(=c2c3ccccc3c(=C3SC(SCCCCCC)=C(SCCCCCC)S3)c3cc(-c4ccc(/C=C(\CN)C(=O)O)s4)ccc23)S1,C(Cl)Cl,421,606.0,0.71,,185.0,,40.7,0.761,0.769,0.04,0.178
COC(=O)c1cc2c3ccccc3n(C)c2c(-c2nc3ccccc3o2)n1,C(Cl)(Cl)Cl,371,435.0,0.241,,64.0,,39.1,0.783,0.614,0.047,0.071
CCCn1c2ccccc2c2cc(/C=C/C3=[N+]4C(=C(c5ccc(I)cc5)c5c(C)c(Cl)c(/C=C/c6ccc7c(c6)c6ccccc6n7CCC)n5[B-]4(F)F)C(C)=C3Cl)ccc21,CC#N,694,731.0,0.5,68600.0,37.0,4.8363,45.6,0.645,0.974,0.044,0.286
CCCn1c2ccccc2c2cc(/C=C/C3=[N+]4C(=C(c5ccc(I)cc5)c5c(C)c(Cl)c(/C=C/c6ccc7c(c6)c6ccccc6n7CCC)n5[B-]4(F)F)C(C)=C3Cl)ccc21,C(Cl)(Cl)Cl,703,730.0,0.55,86100.0,27.0,4.935,39.1,0.783,0.614,0.047,0.071
CCCn1c2ccccc2c2cc(/C=C/C3=[N+]4C(=C(c5ccc(I)cc5)c5c(C)c(Cl)c(/C=C/c6ccc7c(c6)c6ccccc6n7CCC)n5[B-]4(F)F)C(C)=C3Cl)ccc21,CS(=O)C,705,749.0,0.32,68700.0,44.0,4.837,45.1,0.83,1.0,0.072,0.647
c1ccc2c(c1)-c1c(sc3ccccc13)-n1c-2nc2ccccc21,CC#N,325,410.0,0.07,30770.0,85.0,4.4881,45.6,0.645,0.974,0.044,0.286
CC1=C2CCc3ccccc3C2=[N+]2C1=C(c1ccc(I)cc1)c1c(C)c3c(n1[B-]2(F)F)-c1ccccc1CC3,C(Cl)(Cl)Cl,619,629.0,0.72,145750.0,10.0,5.1636,39.1,0.783,0.614,0.047,0.071
F[B-]1(F)n2c(cc3c2-c2ccccc2CC3)C(c2ccc(I)cc2)=C2C=C3CCc4ccccc4C3=[N+]21,C(Cl)(Cl)Cl,634,647.0,0.38,,13.0,,39.1,0.783,0.614,0.047,0.071
CCC(CC)n1c2ccccc2c2cc3c(cc21)c1ccccc1n3C(CC)CC,C(Cl)(Cl)Cl,419,423.0,0.16,23900.0,4.0,4.3784,39.1,0.783,0.614,0.047,0.071
CCn1c2ccccc2c2cc3c(cc21)c1ccccc1n3CC,C(Cl)(Cl)Cl,419,425.0,0.13,23900.0,6.0,4.3784,39.1,0.783,0.614,0.047,0.071
Cc1ccc(/C=C/c2ccccc2-[n+]2noc([O-])c2-c2ccccc2)cc1,CC#N,313,506.0,0.0048,,193.0,,45.6,0.645,0.974,0.044,0.286
CCCCCCSC1=C(SCCCCCC)SC(=Cc2ccc3c(c2)N(CCCC)c2cc(/C=C(\CN)C(=O)O)ccc2S3)S1,C1CCOC1,467,642.0,0.73,,175.0,,37.4,0.714,0.634,0.0,0.591
CS(=O)(=O)Nc1ccc(-c2c3nc(c(-c4ccc(NS(C)(=O)=O)cc4)c4ccc([nH]4)c(-c4ccc(NS(C)(=O)=O)cc4)c4nc(c(-c5ccc(NS(C)(=O)=O)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,CN(C)C=O,650,655.0,0.15,6200.0,5.0,3.7924,43.2,0.759,0.977,0.031,0.613
CS(=O)(=O)Nc1cccc(-c2c3nc(c(-c4cccc(NS(C)(=O)=O)c4)c4ccc([nH]4)c(-c4cccc(NS(C)(=O)=O)c4)c4nc(c(-c5cccc(NS(C)(=O)=O)c5)c5ccc2[nH]5)C=C4)C=C3)c1,CN(C)C=O,647,648.0,0.12,3800.0,1.0,3.5798,43.2,0.759,0.977,0.031,0.613
c1ccc(CCc2cnc(CCc3ccccc3)nc2)cc1,C1CCCCC1,320,425.0,0.0009,40000.0,105.0,4.6021,30.9,0.683,0.0,0.0,0.073
C[Si](C)(C)CCc1ccc(CCc2cnc(CCc3ccccc3)nc2)cc1,C1CCCCC1,335,390.0,0.0085,82000.0,55.0,4.9138,30.9,0.683,0.0,0.0,0.073
CCc1ccc(CCc2cnc(CCc3ccccc3)nc2)cc1,C1CCCCC1,325,415.0,0.0015,53000.0,90.0,4.7243,30.9,0.683,0.0,0.0,0.073
COc1cc2cc(CCc3ccc([N+](=O)[O-])cc3)c(CCc3ccc([N+](=O)[O-])cc3)cc2cc1OC,C1CCOC1,361,514.0,0.009,,153.0,,37.4,0.714,0.634,0.0,0.591
COc1cc2cc(CCc3ccc([N+](=O)[O-])cc3)c(CCc3ccc([N+](=O)[O-])cc3)cc2cc1OC,C(Cl)Cl,360,593.0,0.019,,233.0,,40.7,0.761,0.769,0.04,0.178
O=[N+]([O-])c1ccc(CCc2cc3ccccc3cc2CCc2ccc([N+](=O)[O-])cc2)cc1,C(Cl)Cl,347,527.0,0.007,,180.0,,40.7,0.761,0.769,0.04,0.178
COc1cc2cc(CCc3ccc([N+](=O)[O-])cc3)c(CCc3ccc([N+](=O)[O-])cc3)cc2cc1OC,C(Cl)(Cl)Cl,362,577.0,0.053,,215.0,,39.1,0.783,0.614,0.047,0.071
CCn1c2ccccc2c2cc(C3=CC(c4ccc5c(c4)c4ccccc4n5CC)=[O+][B-](F)(F)O3)ccc21,C1CCOC1,460,489.0,0.93,21740.0,29.0,4.3373,37.4,0.714,0.634,0.0,0.591
CCn1c2ccccc2c2cc(C3=CC(c4ccc5c(c4)c4ccccc4n5CC)=[O+][B-](F)(F)O3)ccc21,CC1=CC=CC=C1,460,481.0,0.93,21740.0,21.0,4.3373,33.9,0.782,0.284,0.0,0.128
CCn1c2ccccc2c2cc(C3=CC(c4ccc5c(c4)c4ccccc4n5CC)=[O+][B-](F)(F)O3)ccc21,C(Cl)Cl,467,513.0,0.8,21410.0,46.0,4.3306,40.7,0.761,0.769,0.04,0.178
CCn1c2ccccc2c2cc(C3=CC(c4ccc5c(c4)c4ccccc4n5CC)=[O+][B-](F)(F)O3)ccc21,CC(=O)C,464,506.0,0.81,21550.0,42.0,4.3334,42.2,0.651,0.907,0.0,0.475
CCn1c2ccccc2c2cc(C3=CC(c4ccc5c(c4)c4ccccc4n5CC)=[O+][B-](F)(F)O3)ccc21,C(Cl)(Cl)Cl,466,504.0,0.89,21460.0,38.0,4.3316,39.1,0.783,0.614,0.047,0.071
CCCCCCOc1cc(N(CC)CC)ccc1/C=C/C(=C(CN)CN)c1ccc(N(c2ccccc2)c2ccccc2)cc1,C(Cl)Cl,512,595.0,0.178,80100.0,83.0,4.9036,40.7,0.761,0.769,0.04,0.178
c1ccc2c(c1)-c1ccccc1-n1cccc1-2,CC#N,329,433.0,0.42,30400.0,104.0,4.4829,45.6,0.645,0.974,0.044,0.286
CCCCn1c(-c2ccc(-c3ccc(C(=O)OCC)cc3)s2)nc2c3cccnc3c3ncccc3c21,C(Cl)Cl,364,459.0,0.69,27470.0,95.0,4.4389,40.7,0.761,0.769,0.04,0.178
NCC(CN)=c1[nH]c(=O)/c(=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)s1,CCO,435,548.0,0.62,,113.0,,51.9,0.633,0.783,0.4,0.658
CCN(CCCS(=O)(=O)[O-])c1ccc2c(C(C)(C)C)cc(/C=C/C=C/C=C3/N(CCCS(=O)(=O)[O-])c4ccc(S(=O)(=O)[O-])cc4C3(C)CCCC(=O)O)[o+]c2c1,CCO,785,794.0,,12740.0,9.0,4.1052,51.9,0.633,0.783,0.4,0.658
CCN(CC)c1ccc2c(C(C)(C)C)cc(/C=C/C=C/C=C3/N(CCCS(=O)(=O)[O-])c4ccc(S(=O)(=O)[O-])cc4C3(C)CCCC(=O)O)[o+]c2c1,CCO,784,796.0,,12760.0,12.0,4.1059,51.9,0.633,0.783,0.4,0.658
CCN(CC)c1ccc2c(C(C)(C)C)cc(/C=C/C=C/C=C3/N(CCCCCC(=O)O)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)[o+]c2c1,CCO,783,799.0,,12770.0,16.0,4.1062,51.9,0.633,0.783,0.4,0.658
c1ccc(CCc2nccnc2CCc2ccccc2)cc1,CC#N,315,380.0,0.07,,65.0,,45.6,0.645,0.974,0.044,0.286
C[Si]1(C)c2ccc(-c3cccs3)cc2C=Cc2cc(-c3cccs3)ccc21,C(Cl)Cl,354,373.0,0.09,,19.0,,40.7,0.761,0.769,0.04,0.178
CC[n+]1ccc(/C=C/c2cc3cccc4ccc5cccc2c5c43)cc1,CC#N,420,622.0,0.16,8300.0,202.0,3.9191,45.6,0.645,0.974,0.044,0.286
CC[n+]1ccc(/C=C/c2cc3cccc4ccc5cccc2c5c43)cc1,C1CCOC1,424,613.0,0.083,8800.0,189.0,3.9445,37.4,0.714,0.634,0.0,0.591
CC[n+]1ccc(/C=C/c2cc3cccc4ccc5cccc2c5c43)cc1,CC1=CC=CC=C1,428,600.0,0.085,7700.0,172.0,3.8865,33.9,0.782,0.284,0.0,0.128
CC[n+]1ccc(/C=C/c2cc3cccc4ccc5cccc2c5c43)cc1,O,411,606.0,0.045,6600.0,195.0,3.8195,63.1,0.681,0.997,1.062,0.025
CC[n+]1ccc(/C=C/c2cc3cccc4ccc5cccc2c5c43)cc1,CS(=O)C,420,616.0,0.17,8800.0,196.0,3.9445,45.1,0.83,1.0,0.072,0.647
CCCCC(CC)Cn1c(=O)c2cc(Oc3ccc(C(C)(C)C)cc3)c3c4c(Cl)cc5c(=O)n(-c6c(C(C)C)cccc6C(C)C)c(=O)c6cc(Cl)c(c7c(Oc8ccc(C(C)(C)C)cc8)cc(c1=O)c2c37)c4c56,CC1=CC=CC=C1,560,606.0,0.72,43200.0,46.0,4.6355,33.9,0.782,0.284,0.0,0.128
CCCCC(CC)Cn1c(=O)c2cc(Oc3ccc(OC)cc3)c3c4c(Cl)cc5c(=O)n(-c6c(C(C)C)cccc6C(C)C)c(=O)c6cc(Cl)c(c7c(Oc8ccc(OC)cc8)cc(c1=O)c2c37)c4c56,CC1=CC=CC=C1,565,614.0,0.13,42300.0,49.0,4.6263,33.9,0.782,0.284,0.0,0.128
CCCn1c2cccc3oc4cccc5c4[c+](c32)c2c1cccc2n5CCC,CC#N,557,590.0,0.44,15940.0,33.0,4.2025,45.6,0.645,0.974,0.044,0.286
CCCn1c2cccc3oc4cccc5c4[c+](c32)c2c1cccc2n5CCC,C(Cl)Cl,560,577.0,0.46,17860.0,17.0,4.2519,40.7,0.761,0.769,0.04,0.178
CC1=[N+]2C(=C(c3ccc(C=O)cc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,CCOC(=O)C,605,669.0,0.2,75100.0,64.0,4.8756,38.1,0.656,0.603,0.0,0.542
CC1=[N+]2C(=C(c3ccc(Br)cc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,CCOC(=O)C,602,670.0,0.21,71400.0,68.0,4.8537,38.1,0.656,0.603,0.0,0.542
CC1=[N+]2C(=C(c3ccccc3C)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,CCOC(=O)C,599,679.0,0.16,56400.0,80.0,4.7513,38.1,0.656,0.603,0.0,0.542
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CO,523,613.0,0.83,,90.0,,55.4,0.608,0.904,0.605,0.545
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CC#N,525,602.0,0.88,,77.0,,45.6,0.645,0.974,0.044,0.286
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CC(=O)C,521,598.0,0.9,,77.0,,42.2,0.651,0.907,0.0,0.475
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,C1COCCO1,512,585.0,0.92,,73.0,,36.0,0.737,0.312,0.0,0.444
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CC1=CC=CC=C1,516,582.0,0.94,,66.0,,33.9,0.782,0.284,0.0,0.128
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CCCCCC,498,557.0,0.93,,59.0,,31.0,0.616,0.0,0.0,0.056
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CCOC(=O)C,514,587.0,0.93,,73.0,,38.1,0.656,0.603,0.0,0.542
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CCO,522,609.0,0.87,,87.0,,51.9,0.633,0.783,0.4,0.658
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,C(Cl)Cl,534,602.0,0.91,,68.0,,40.7,0.761,0.769,0.04,0.178
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CS(=O)C,535,609.0,0.75,,74.0,,45.1,0.83,1.0,0.072,0.647
Cc1ccc(C2=C3C=CC([Te]c4ccccc4)=[N+]3[B-](F)(F)n3c([Te]c4ccccc4)ccc32)cc1,C1CCOC1,620,659.0,0.01,76600.0,39.0,4.8842,37.4,0.714,0.634,0.0,0.591
Cc1cc(C)c(OP2(=O)c3cccc4cccc(c34)-c3cccc4cccc2c34)c(C)c1,C(Cl)Cl,351,442.0,0.46,,91.0,,40.7,0.761,0.769,0.04,0.178
