SMILES,Solvent,LGAC
c1ccc(B2N(c3ccccc3)C(c3ccccc3)=C(c3ccccc3)N2c2ccccc2)cc1,C1CCOC1,4.4002
C1=C(c2ccccc2)[Si](c2ccccc2)(c2ccccc2)c2ccccc21,C(Cl)Cl,4.1139
CN1/C(=C/C=C(/C=C/C2=[N+](C)c3ccccc3C2(C)C)c2cc(F)cc(F)c2)C(C)(C)c2ccccc21,O,5.2355
CCOC(=O)C1c2ccccc2C(=O)N1c1ccc(OC)cc1,CCCCCC,5.9191
CCN1C(=O)C(=Cc2ccc(-c3sc(N(c4ccccc4)c4ccccc4)nc3-c3ccccc3)s2)C(=O)N(CC)C1=S,CCCCCC,4.2565
CC1=C(Cc2ccccc2)C(C)=[N+]2C1=C(C)c1c(C)c(-c3csc(N4CCOCC4)n3)c(C)n1[B-]2(F)F,CCO,4.486
NCC(CN)=C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc2c3c(cccc13)CC2,CCOC(=O)C,4.6982
COc1ccc(C2=CC3=C(c4c(C)cc(C)cc4C)c4cc(-c5ccc(OC)cc5)c(-c5ccc(OC)cc5)n4[B-](F)(F)[N+]3=C2c2ccc(OC)cc2)cc1,CC#N,4.64
COc1ccc(/C=C/C2=CC(c3ccccc3)=[O+][B-](F)(F)O2)cc1,C(Cl)Cl,4.6275
NCc1ccc(-c2ccc(C3=CCC(c4ccccc4)CC3)s2)s1,CCCCCC,4.46
c1ccc(-c2ccc3c4ccc(-c5ccccc5)c5c(-c6ccccc6)ccc(c6ccc(-c7ccccc7)c2c36)c54)cc1,C(Cl)Cl,4.6232
CN(C)c1ccc(/C=C/c2nc3cc(Br)ccc3nc2-c2ccccc2)cc1,C(Cl)Cl,4.4456
CCCCNC(=O)CCC(=O)c1ccc2c(c1)C(C)(C)c1cc(N(C)C)ccc1-2,CC#N,4.4341
CCn1c2ccccc2c2cc(C3=[O+][B-](F)(F)OC(c4ccc(OC)cc4)=C3)ccc21,C1CCOC1,4.3566
CCOC(=O)/C=C/C1=C(c2ccc(C)cc2)C2=Nc3c(-c4ccc(C)cc4)c(Br)c(-c4ccc(C)cc4)n3[B-](F)(F)[N+]2=C1c1ccc(C)cc1,C(Cl)(Cl)Cl,4.85
CN(C)c1ccc(C2=C(CN)C(OCC(O)CO)=NC23C(CN)=C(N)Oc2ccccc23)cc1,CS(=O)C,4.3696
CC1(C)C2=C(c3ccc(N(c4ccccc4)c4ccccc4)cc31)P(=O)(c1ccccc1)c1ccccc12,CO,4.1239
Cc1ccc(-c2cc(-c3ccc(C)cc3)c(CN)c(=O)[nH]2)cc1,CCOC(=O)C,4.4624
CC(C)(C)C1Nc2ccccc2C(=O)N1c1ccccc1,C(Cl)(Cl)Cl,3.616
Cc1cc(=O)oc2ccc3ccc(-c4cn(Cc5ccccc5)nn4)cc3c12,CCO,4.2553
Cc1ccc(-c2cc(-c3ccc(C)cc3)c(CN)c(=O)[nH]2)cc1,CO,4.7482
COC(=O)c1nc(-c2ccc(OC)cc2)oc1C,CCOC(=O)C,4.3838
CC1=CC(C)(C)Nc2ccc3c(-c4ccc(C(C)(C)C)cc4)c4ccc(=[NH2+])cc-4n(C)c3c21,O,4.301
COc1ccc2oc(-c3cc4cc(OC)ccc4oc3=O)cc2c1,CC#N,4.3424
COc1ccc(/C=C/C2=N/C(=C\c3ccncc3)C(=O)N2C)cc1,CCOC(=O)C,4.0792
COc1ccc(-c2nc3ccccc3oc2=O)cc1,C1CCCCC1,4.3464
O=S(=O)([O-])c1ccc(/C=C/c2ccc(-c3nnc(-c4ccc(/C=C/c5ccc(S(=O)(=O)[O-])cc5S(=O)(=O)[O-])cc4)o3)cc2)c(S(=O)(=O)[O-])c1,C1CCOC1,3.6721
CCCc1ccc(-c2c3ccc(=[NH2+])cc-3oc3cc(N(C)C)ccc23)cc1,O,4.2799
CCN(CC)c1ccc2c(c1)C(C)(C)c1cc(-c3oc4ccccc4c(=O)c3OC)ccc1-2,C1CCOC1,4.3904
CN(C)c1ccc(C2=C(CN)C(OCC(O)CO)=NC23C(CN)=C(N)Oc2ccccc23)cc1,C1CCOC1,4.384
Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,CCCCCC,4.5065
COc1cc2c(cc1/C=C(\CN)c1nc3ccccc3s1)c1ccccc1n2C,CC#N,4.5501
NCC(=Cc1ccc(-c2ccc(O)c(-c3nc4ccccc4s3)c2)s1)CN,O,3.3696
CCN(CCCS(=O)(=O)[O-])c1ccc2c(-c3ccccc3C(=O)N(C)CCCC(=O)O)c3c([o+]c2c1)=CC1C(C=3)C(C)=CC(C)(C)N1CCCS(=O)(=O)[O-],CCO,4.2335
CCn1c2ccccc2c2cc(/C=C3\C(=O)c4ccccc4S3(=O)=O)ccc21,CS(=O)C,4.6834
CCCCN1C(=O)C(=CC=C2N(CCCC)c3ccccc3N2CCCC)C(=O)N(CCCC)C1=S,CN(C)C=O,4.6138
COC(=O)C(NC(=O)OC(C)(C)C)c1ccc2oc(-c3ccc(F)cc3)nc2c1,CC#N,4.47
FC(F)(F)C(F)(F)C(F)(F)c1nc2c(-c3ccsc3)cc3c4cc(-c5ccsc5)c5nc(C(F)(F)C(F)(F)C(F)(F)F)nc6c(-c7ccsc7)cc(c7cc(-c8ccsc8)c(n1)c2c37)c4c56,C1CCOC1,4.65
Cc1cc(-c2ccccc2C)cc(C)[o+]1,C(Cl)Cl,4.0792
COc1ccc(-c2cc(-c3ccc(C)cc3)nc3c(CN)c(N4CCCC4)nc(N)c23)cc1,CC(=O)C,4.0
COc1ccc2cc(-c3ccc(-c4cc5ccc(OC)cc5oc4=O)cc3)c(=O)oc2c1,C(Cl)(Cl)Cl,4.699
CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccccc3)ccc2-c2ccc(-c3ccccc3)cc21,C(Cl)(Cl)Cl,4.8814
COc1cc(N(c2ccccc2)c2ccccc2)ccc1C=C(CN)CN,C(Cl)Cl,4.8062
Cc1ccc(C2CC(=O)Oc3c2c2nc4ccc(C)cc4nc2c2ccccc32)cc1,C(Cl)(Cl)Cl,3.7782
CC1=[N+]2C(=C(/C=C/c3ccc(C(F)(F)F)cc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,C1CCCCC1,4.6972
CCCCC(CC)Cn1c2cc(CN)ccc2c2ccc(CCc3ccc4ccc5cccc6ccc3c4c56)cc21,C(Cl)Cl,4.8395
CN(C)c1ccc(C2=Nc3sc4cc(Br)ccc4[n+]3[B-](F)(F)O2)cc1,C1CCOC1,4.3705
CN(CC(O)c1cccc(O)c1)c1ccc([N+](=O)[O-])c(C2CC(c3cccc4ccccc34)=NN2c2ccccc2)c1,C1COCCO1,4.8261
COc1ccc(-c2cnc(/C=C/c3ccc(OC)c(OC)c3)o2)cc1,C(Cl)Cl,4.616
CCN(CC)c1ccc2cc(/C=C(\CN)c3nc4ccccc4o3)c(=O)oc2c1,CC1=CC=CC=C1,4.5349
C[Si](C)(C)CC[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C(Cl)(Cl)Cl,4.45
CN(C)c1ccc(/C=c2\o/c(=C\c3ccc(Cl)cc3)c3ccccc23)cc1,C(Cl)Cl,4.384
COc1ccc(CCc2nc3ccccc3nc2-c2cn(C)c3ccccc23)cc1,CCOC(=O)C,4.1584
CCCCOc1ccc(-c2cc3c(o2)c(-c2ccc(OCCCC)cc2)c2n3[B-](F)(F)[N+]3=Cc4c(-c5ccc(OCCCC)cc5)c5oc(-c6ccc(OCCCC)cc6)cc5n4[B-](F)(F)[N+]3=C2)cc1,C(Cl)Cl,5.0839
CC(C)(C)c1ccc2c3c(c4ccc(C(C)(C)C)cc4c2c1)=[N+]1C(=C(c2ccccc2)c2c(Br)c4c5ccc(C(C)(C)C)cc5c5cc(C(C)(C)C)ccc5c4n2[B-]1(F)F)C=3Br,C1CCCCC1,5.18
CN(C)c1ccc(C2=Nc3scc(-c4ccc([N+](=O)[O-])cc4)[n+]3[B-](F)(F)O2)cc1,C1CCOC1,4.7789
COc1cc(OC)cc(C2=C3C(C)=C(I)C(/C=C/c4c[nH]c5ccccc45)=[N+]3[B-](F)(F)n3c(/C=C/c4c[nH]c5ccccc45)c(I)c(C)c32)c1,C(Cl)Cl,4.54
Cc1ccc(-c2nc(/C=C/c3ccc(Cl)cc3)c(/C=C/c3ccc(Cl)cc3)[nH]2)cc1,C(Cl)Cl,4.9077
CCN(CC)c1ccc2cc(-c3oc4ccccc4c(=O)c3OC)oc2c1,CN(C)C=O,4.3566
CCCCCCCCC1(CCCCCCCC)c2cc(C=O)ccc2-c2ccc(CCc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc21,C(Cl)(Cl)Cl,4.4135
CN(C)c1ccc(-c2nc3cc(C(F)(F)F)ccc3n2-c2ccccc2)cc1,CC#N,4.4789
NCc1ccc(-c2ccc(C3=CCCCC3)s2)s1,C1CCOC1,4.23
CN(C)c1ccc(/C=C/C=C/C2=NC3C(=O)NC(N)=NC3N2[C@H]2C[C@H](O)[C@@H](CO)O2)cc1,CC#N,4.1399
CC[N+]1(CC)CN2C(=N1)C(C(=O)O)=Cc1cc(Cl)ccc12,O,3.6519
CC1=[N+]2C(=Cc3c4c(cn3[B-]2(F)F)-c2nc-4c(-c3ccccc3)c3ccc([nH]3)c(-c3ccccc3)c3nc(c(-c4ccccc4)c4ccc([nH]4)c2-c2ccccc2)C=C3)C(C)C1,C(Cl)Cl,4.7653
CCCCCCCCC(=O)c1ccc2c(c1)C(C)(C)c1cc(N(CC)CC)ccc1-2,C1CCOC1,4.4226
CCCCc1cc(-c2ccncc2)c2ccc3c(CCCC)cc(-c4ccncc4)c4ccc1c2c34,CC1=CC=CC=C1,4.4294
F[B-]1(F)Oc2ccccc2-c2c3c(c4c([n+]21)CCc1ccccc1-4)CCc1ccccc1-3,C(Cl)Cl,3.8451
c1ccc(N(c2ccccc2)c2ccc([P+](c3ccccc3)(c3ccccc3)c3ccccc3)c3ccccc23)cc1,CO,4.3969
CCC(C)(C)c1ccc2c(c1)C(CCOC)(CCOC)c1cc(-c3ccc(-c4ccc5c(c4)C(CCOC)(CCOC)c4cc(C(C)(C)CC)ccc4-5)cc3)ccc1-2,C1CCCCC1,4.8808
NS(=O)(=O)c1ccc(N2N=C(c3ccc(O)cc3)CC2c2ccc(F)cc2)cc1,CCOC(=O)C,5.4393
COc1ccc(/C=C/c2nc(-c3ccc(C)cc3)[nH]c2/C=C/c2ccc(OC)cc2)cc1,C(Cl)Cl,4.7952
CCNc1ccc2c(-c3cc(C)c(OC)c(C)c3)c3ccc(=[NH2+])cc-3oc2c1,O,4.2925
CCCCCCCCC1(CCCCCCCC)c2cc(C=O)ccc2-c2ccc(CCc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc21,CCOC(=O)C,4.4249
Oc1ccc(-c2cccs2)cc1-c1nc2ccccc2s1,C(Cl)Cl,3.6551
CC(C)(C)NC(=O)c1cc2ccccc2c2ccc3c4ccccc4c4ccccc4c3c12,C(Cl)Cl,4.5157
CCCCc1ccc(CCc2ccc3nc4ccc(CCc5ccc(CCCC)cc5)cn4c(=O)c3c2)cc1,C(Cl)Cl,5.3324
CCCCN1c2ccc(-c3ccc(C=O)cc3)cc2Sc2cc(-c3ccc(C=O)cc3)ccc21,CC(=O)C,4.4378
c1ccc2c(c1)-c1ccccc1N1B3c4c(cccc4-c4ccccc41)-c1ccccc1N32,C(Cl)Cl,4.4354
CCCCCCc1ccc(-n2c3[n+](c4c5ccccc5c5ccccc5c42)[B-](C)(C)c2ccc4ccccc4c2-3)cc1,C(Cl)Cl,3.9445
B1C=Cc2c(ccc3ccccc23)N1,C1CCCCC1,4.4622
CCN(CC)c1ccc2c(-c3ccc(C(=O)NCCCCCC(=O)O)cc3C(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1,CCO,4.262
O=c1oc2ccc(Cl)cc2cc1-c1cc2cc(Cl)ccc2o1,CC1=CC=CC=C1,4.5024
CN(C)C(=O)c1ccc(-c2nc3ccc(N(C)C)cc3s2)cc1,CC#N,4.301
CC[N+](CC)=c1ccc2cc3c(oc-2c1)-c1ccc(N(C)C)cc1CC3,O,4.8162
COc1cc(N(c2ccccc2)c2ccc(C=C(CN)CN)c(OC)c2)ccc1C=C(CN)CN,CCOC(=O)C,4.8388
CCCCCCN1C(=O)c2cccc3c(-c4ccc(C)s4)ccc(c23)C1=O,C(Cl)(Cl)Cl,4.196
CN1/C(=C/C=C(/C=C/c2sc3ccccc3[n+]2C)c2ccccc2)Sc2ccccc21,O,4.9823
CCOC(=O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OC(=O)[C@H](CO[Si](C)(C)C(C)(C)C)NC(=O)OC(C)(C)C)ccc12,CC#N,4.12
c1ccc2c(c1)ccc1ccccc12,C1CCCCC1,4.5272
C(=C/c1ccnc2ccccc12)\c1ccc(/C=C/c2ccnc3ccccc23)cc1,CN(C)C=O,4.6695
COc1cc2c(cc1/C=C/C1=CC(=C(CN)CN)CC(C)(C)C1)c1ccccc1n2C,CC1=CC=CC=C1,4.3026
CCCCNC(=O)CCC(=O)c1ccc2c(c1)C(C)(C)c1cc(N(C)C)ccc1-2,CS(=O)C,4.4283
COc1ccc(-c2nc(-c3ccc(OC)cc3)n3ccccc23)cc1,C(Cl)(Cl)Cl,4.31
c1ccc(COc2ccc3c(c2)c2cccc4cnc3n42)cc1,CO,4.3585
Cc1nc2ccc(/C=C/c3ccc(N(C)C)cc3)cc2nc1-c1ccccc1,C(Cl)Cl,4.3766
CN(C)c1ccc(CCc2ccc3ccc4c(CCc5ccc(N(C)C)cc5)ccc5ccc2c3c54)cc1,CCOC(=O)C,4.4697
CCn1c2ccccc2c2cc(C3=[O+][B-](F)(F)OC(C)=C3)ccc21,C(Cl)Cl,4.3915
CN(C)c1nc(N(C)C)c2nc(CN)n(Cc3ccccc3)c2n1,CC#N,4.3
CCCCCCc1ccc2c3c(ccc2c1)O[B-](F)(F)[N+](c1ccc([N+]2=Cc4c(ccc5cc(CCCCCC)ccc45)O[B-]2(F)F)cc1)=C3,C(Cl)Cl,4.525
CCC1=C(C)C2=Cc3c4ccccc4c4n3[B-](c3ccc5cc6ccccc6cc5c3)(Oc3ccccc3-4)[N+]2=C1C,C(Cl)Cl,4.8209
Cc1ccc2nc3c4c(c5ccccc5c3nc2c1)OC(=O)CC4c1ccc(C(F)(F)F)cc1,C(Cl)(Cl)Cl,4.1461
CN1/C(=C/C=C(/C=C/C2=[N+](C)c3ccccc3C2(C)C)c2ccc(C(F)(F)F)cc2)C(C)(C)c2ccccc21,O,5.2122
CN(C)c1ncc2nc(CN)n(Cc3ccccc3)c2n1,C(Cl)Cl,4.2
CCN(CC)C(=O)c1ccc2ccc3c(N4CCCCC4)ccc4ccc1c2c43,CCCCCC,4.445
CCN(CCCN(C)C)c1ccc2c(-c3cc(C)cc(C)c3)c3ccc(=[NH2+])cc-3oc2c1,O,4.2799
Cc1ccccc1/C(=C/c1ccc(N(C)C)cc1)CN,CC#N,4.4783
CC1=[N+]2C(=C(c3c4ccccc4cc4ccccc34)c3ccc(C)n3[B-]2(F)F)C=C1,CO,4.8041
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCC3)cc21,CS(=O)C,4.4135
COc1ccc(N(c2ccc(OC)cc2)c2cc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)c3ccc4cc(C(C)(C)C)cc5ccc2c3c54)cc1,C(Cl)Cl,4.62
CN(C)CCN(Cc1c2ccccc2cc2ccccc12)c1ccc([N+](=O)[O-])cn1,CCO,4.5283
CCOC(=O)c1c2c3ccc4c(=O)n(-c5c(C(C)C)cccc5C(C)C)c(=O)c5ccc(c2c2n1CCCn1c(C(=O)OCC)c6c7ccc8c(=O)n(-c9c(C(C)C)cccc9C(C)C)c(=O)c9ccc(c6c1-2)c7c89)c3c45,C(Cl)Cl,4.3107
CCOC(=O)/C(=C/c1cc2c3ccccc3n(C)c2cc1OC)CN,CC1=CC=CC=C1,4.8277
CN(c1ccccc1)c1ccc(/C=C2\C(=O)c3ccccc3S2(=O)=O)cc1,CC#N,4.9359
C1=C(c2ccc(-c3cccs3)s2)CCC(c2ccccc2)C1,CC#N,4.43
COc1ccc(-c2cc3c(ccc4sccc43)s2)cc1,C(Cl)Cl,4.4771
CCN(CC)c1ccc(OC)c(C=O)c1,CC#N,3.4487
c1ccc(N(c2ccccc2)c2ccc(-c3cc4cc5oc(-c6ccc(N(c7ccccc7)c7ccccc7)cc6)cc5cc4o3)cc2)cc1,C(Cl)Cl,4.4249
Oc1c(-c2ccco2)cccc1-c1nc2ccccc2s1,CCO,3.525
COc1cc2c(cc1/C=C/C1=CC(=C(CN)CN)CC(C)(C)C1)c1ccccc1n2C,CCOC(=O)C,4.3678
CC(C)(C)c1ccc(-c2cc3c(-c4ccc(F)cc4)c(-c4ccc(F)cc4)oc4c5oc(-c6ccc(F)cc6)c(-c6ccc(F)cc6)c6cc(-c7ccc(C(C)(C)C)cc7)cc(c(c2)c34)c65)cc1,C(Cl)Cl,4.3747
COC(=O)c1nc2c(N(C)C)nc(N(C)C)nc2n1Cc1ccccc1,C1COCCO1,4.3
COc1cc2c(cc1OC)C1=C[C@H](c3ccc(Cl)cc3)C3(C(CN)=C(CN)N1CC2)c1cc(Br)ccc1-c1ccc(Br)cc13,C(Cl)Cl,3.89
C(=C/c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1)\c1ccncc1,CO,4.8116
B1C=Cc2cc3ccccc3cc2N1,C1CCCCC1,4.445
COc1ccc(N2C(=O)c3ccccc3NC2C(C)(C)C)cc1,CC#N,3.5185
NCc1c2nc3ccccn3c2nc2c1nc1ccccn12,C1COCCO1,4.5051
ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,C(Cl)Cl,4.4393
CC(C)(C)c1ccc(CCc2cc3c(CCc4ccc(C(C)(C)C)cc4)c(CCc4ccc(C(C)(C)C)cc4)c4cc(CCc5ccc(C(C)(C)C)cc5)cc5c(CCc6ccc(C(C)(C)C)cc6)c(CCc6ccc(C(C)(C)C)cc6)c(c2)c3c45)cc1,C(Cl)Cl,4.6191
CCCCCCN(CCCCCC)c1ccc2cc3cc(CN)ccc3cc2c1,CCCCCC,4.3516
Cc1cccc2cc(-c3cc4cccc(C)c4oc3=O)oc12,CCOC(=O)C,4.4362
CC(C)(C)Nc1c(-c2cc(-c3ccc(Cl)cc3)n(-c3ccccc3)n2)nc2ccccn12,C(Cl)(Cl)Cl,4.4891
CC(C)(C)OC(=O)N1CCN(c2ccc3c(c2)C(C)(C)c2cc(C=O)ccc2-3)CC1,C(Cl)(Cl)Cl,4.4365
CC[N+]1=C(/C=C/C=C/C=C/C=C2/N(CCCCCC(=O)O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,O,5.3784
CCOC(=O)CSc1nc2c(c(CN)c1CN)CCCC2,C1CCCCC1,3.7243
CCN(CC)c1ccc2c(C(C)(C)C)cc(/C=C/C=C3/N(CCCS(=O)(=O)[O-])c4ccc(S(=O)(=O)[O-])cc4C3(C)CCCC(=O)O)[o+]c2c1,CCO,4.1599
CC(C)(C)c1ccc(C2=C(Br)C3=C(c4ccccc4)c4c(Br)c(-c5ccc(C(C)(C)C)cc5)c(-c5ccc(C(C)(C)C)cc5)n4[B-](F)(F)[N+]3=C2c2ccc(C(C)(C)C)cc2)cc1,CC#N,4.89
COc1ccc(/C=C/C2=[O+][B-](F)(F)OC(/C=C/c3ccc(OC)cc3)=C2c2cccc(OC)c2)cc1,C(Cl)Cl,4.8645
Clc1ccc(-c2nc(-c3ccccc3)sc2N(c2ccccc2)c2ccccc2)cc1,C(Cl)(Cl)Cl,4.0294
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCCC3)cc21,C1COCCO1,4.426
COc1cc(N(c2ccc(C=C(CN)CN)c(OC)c2)c2ccc(C=C(CN)CN)c(OC)c2)ccc1C=C(CN)CN,CC#N,4.5911
CCOC(CN1C(=O)C2=C(c3ccsc3)N(CC(OCC)OCC)C(=O)C2=C1c1ccsc1)OCC,C(Cl)(Cl)Cl,4.3802
CN(C)c1ccc2cc(C3=[O+][B-](F)(F)OC(c4ccc(CN)cc4)=C3)ccc2c1,CC1=CC=CC=C1,4.7672
CN(C)c1ccc(-c2nc(-c3ccccc3)n3ccccc23)cc1,C(Cl)(Cl)Cl,4.47
CCCCCCCCCCCCNc1cccc2[n+]1[B-](F)(F)n1c(c3cccc4cccc1c43)=N2,C(Cl)Cl,4.4502
CCN1/C(=C/C=C/c2oc3ccccc3[n+]2CC)Oc2ccccc21,CCO,4.328
CCN(CC)c1ccc2cc(-c3cc(SC)c(CN)c(=O)o3)c(=O)oc2c1,CN(C)C=O,4.8255
CC1=CB(c2ccccc2)N2B(c3ccc(F)cc3)C=C(C)c3cccc1c32,C(Cl)Cl,4.4156
CCN(CC)c1ccc2cc(-c3cc(-c4ccccc4C(=O)O)c4ccc(=[N+](CC)CC)cc-4o3)c(=O)oc2c1,C(Cl)Cl,4.1793
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCC3)cc21,C1COCCO1,4.4079
CC1(C)Nc2cc3nc4cc(F)c(F)cc4nc3cc2N1,CCO,4.4639
CCN(CC)c1ccc2cc(-c3cc(SC)c(CN)c(=O)o3)c(=O)oc2c1,C(Cl)(Cl)Cl,4.9502
O=c1oc2ccc(Br)cc2cc1-c1cc2cc(Br)ccc2o1,CCOC(=O)C,4.525
Cc1ccc(-c2ccc(/C=C/c3ccc(F)cc3)cn2)nc1,CC#N,4.7408
CCCCN(CCCC)c1ccc(/C=C/c2ccc3nc(-c4ccccc4)c(/C=C/c4ccc(N(C)C)cc4)nc3c2)cc1,CC#N,4.659
CCOC(=O)/C(=C\c1ccc2c(c1)c1ccccc1n2-c1ccc(C)cc1)CN,CO,4.3274
B1Nc2ccccc2-c2ccccc21,C1CCCCC1,4.4867
COc1ccc(-c2cc(-c3ccc(OC)cc3)c3c(N)nc(N4CCCC4)c(CN)c3n2)cc1,C(Cl)(Cl)Cl,3.77
CC1=[N+]2C(=C(c3ccc(C(=O)c4ccccc4)cc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,CCOC(=O)C,4.7634
CCn1c2ccccc2c2cc(/C=C/C3=C(Sc4ccccc4)C(=C(CN)CN)OC3(C)C)ccc21,C(Cl)Cl,4.3334
COc1cccc2oc(-c3cc4c(OC)cccc4oc3=O)cc12,CCOC(=O)C,4.3222
Cc1ccc(C2CC(c3ccc(O)cc3)=NN2c2ccc(S(N)(=O)=O)cc2)cc1,CS(=O)C,5.5478
CCOC(=O)C(C(=O)OCC)C1=[N+]2C(=C(c3ccc(C)cc3)c3ccc(Cl)n3[B-]2(F)F)C=C1,C1CCCCC1,4.2891
CCOc1ccc(-[n+]2nc3c(-c4ccccc4)cc(OCC)cc3c3ccccc32)cc1,C(Cl)Cl,4.3535
CCOC(=O)c1c(-c2cc3cc(OC)ccc3oc2=O)nn(-c2cccc(C)c2)c1C(=O)OCC,C(Cl)Cl,4.193
COc1ccc(CCc2ccc(CCc3ccc(P(=O)(c4ccccc4)c4ccccc4)cc3)cc2)cc1,C(Cl)Cl,4.7853
O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)[C@H]1[C@H](c2ccccc2)C[C@](O)(c2ccccn2)C[C@]1(O)c1ccccn1,C1CCOC1,4.4494
CCC1(CC)c2ccc(/C=C/C3=C(Sc4ccccc4)C(=C(CN)CN)OC3(C)C)cc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,C(Cl)Cl,4.2975
CCN(CC)c1nc(-c2ccccc2)c(-c2ccc([N+](=O)[O-])s2)s1,CC#N,4.3124
NCC(CN)=C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc2c3c(cccc13)CC2,CN(C)C=O,4.7028
CCNc1ccc2c(-c3cccc(OC)c3)c3ccc(=[NH2+])cc-3oc2c1,O,4.2882
O=C1c2ccccc2C2=Nc3ccc4ccccc4[n+]3[B-](F)(F)N12,C(Cl)Cl,4.4265
NC(=O)Cc1cccc2ccccc12,O,3.8156
CCCn1c2ccccc2c2cc(/C=C/c3cc(C)c4n3[B-](F)(F)[N+]3=C(C)C=C(C)C3=C4c3ccc(I)cc3)ccc21,CC#N,5.0821
O=c1oc(=O)c2cc(Oc3ccccc3)c3c4ccc5c(=O)oc(=O)c6cc(Oc7ccccc7)c(c7ccc1c2c73)c4c56,C1CCOC1,4.1523
CC1=CC(C)(C)N(CCCS(=O)(=O)[O-])c2cc3[o+]c(C(C)(C)C)cc(/C=C/C=C/C=C4\N(CCCS(=O)(=O)[O-])c5ccc(S(=O)(=O)[O-])cc5C4(C)CCCC(=O)O)c3cc21,CCO,4.1248
COc1cc(N(c2ccccc2)c2ccc(C=C(CN)CN)c(OC)c2)ccc1C=C(CN)CN,C(Cl)(Cl)Cl,4.8633
CCn1nc(-c2ccccc2)c2ccc3[o+]c(-c4ccccc4)c4ccc1c2c34,CC(=O)C,4.6522
CC1=C2C3=C(C(C)=[N+]2[B-](F)(F)n2c(C)c4cc5c(-c6ccccc6)c6c(c(-c7ccccc7)c5cc4c21)-c1cccc2cccc-6c12)c1cccc2cccc3c12,C(Cl)Cl,4.8998
