SMILES,Solvent,LGAC,Et30,SP,SdP,SA,SB
c1ccc2c(c1)OP1(=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=N1)Oc1ccccc1-2,C(Cl)Cl,5.1898,40.7,0.761,0.769,0.04,0.178
c1cc2ccc3ccc(OP4(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=N4)c4ccc(c1)c2c34,C(Cl)Cl,5.5515,40.7,0.761,0.769,0.04,0.178
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,O,4.5916,63.1,0.681,0.997,1.062,0.025
COc1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,4.37,45.6,0.645,0.974,0.044,0.286
C(=C/c1nc(-c2ccccc2)c2ccccn12)\c1nc(-c2ccccc2)c2ccccn12,CC#N,4.35,45.6,0.645,0.974,0.044,0.286
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3ccccn23)cc1,CC#N,4.29,45.6,0.645,0.974,0.044,0.286
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3c4ccccc4ccn23)cc1,CC#N,4.17,45.6,0.645,0.974,0.044,0.286
O=C(O)CCCc1cc(CCc2ccccc2)c2ccc3c(CCc4ccccc4)cc(CCc4ccccc4)c4ccc1c2c43,CS(=O)C,4.81,45.1,0.83,1,0.072,0.647
Cc1ccc2sc3cc(CCC(=O)O)ccc3c(=O)c2c1,CC#N,3.7332,45.6,0.645,0.974,0.044,0.286
Cc1ccc2sc3cc(CCC(=O)O)ccc3c(=O)c2c1,CO,3.7582,55.4,0.608,0.904,0.605,0.545
CCOC(=O)CN1C(=O)C2=C(c3ccccc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CS(=O)C,4.1987,45.1,0.83,1,0.072,0.647
CCOC(=O)CN1C(=O)C2=C(c3ccc(CN)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CS(=O)C,4.2041,45.1,0.83,1,0.072,0.647
CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CS(=O)C,4.5079,45.1,0.83,1,0.072,0.647
CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(N2CCCCC2)cc1,CS(=O)C,4.6542,45.1,0.83,1,0.072,0.647
CCOC(=O)CN1C(=O)C2=C(c3ccccc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CC#N,4.2833,45.6,0.645,0.974,0.044,0.286
CCOC(=O)CN1C(=O)C2=C(c3ccc(CN)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(CN)cc1,CC#N,4.2878,45.6,0.645,0.974,0.044,0.286
CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(N2CCCCC2)cc1,CC#N,4.7033,45.6,0.645,0.974,0.044,0.286
CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(CN)cc1,CC#N,4.5416,45.6,0.645,0.974,0.044,0.286
CCOC(=O)CN1C(=O)C2=C(c3ccccc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CC1=CC=CC=C1,4.2672,33.9,0.782,0.284,0,0.128
CCOC(=O)CN1C(=O)C2=C(c3ccc(CN)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CC1=CC=CC=C1,4.3535,33.9,0.782,0.284,0,0.128
CCOC(=O)CN1C(=O)C2=C(c3ccc(CN)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(CN)cc1,CC1=CC=CC=C1,4.248,33.9,0.782,0.284,0,0.128
CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CC1=CC=CC=C1,4.5441,33.9,0.782,0.284,0,0.128
CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(N2CCCCC2)cc1,CC1=CC=CC=C1,4.6474,33.9,0.782,0.284,0,0.128
CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(CN)cc1,CC1=CC=CC=C1,4.5623,33.9,0.782,0.284,0,0.128
CCCCCCN1C(=O)c2cccc3c(-c4cc5ccccc5s4)ccc(c23)C1=O,C(Cl)(Cl)Cl,4.327,39.1,0.783,0.614,0.047,0.071
CCCCCCN1C(=O)c2cccc3c(-c4cccs4)ccc(c23)C1=O,C(Cl)(Cl)Cl,4.155,39.1,0.783,0.614,0.047,0.071
CCCCCCN1C(=O)c2cccc3c(-c4scc5c4OCCO5)ccc(c23)C1=O,C(Cl)(Cl)Cl,3.975,39.1,0.783,0.614,0.047,0.071
CCCCCCN1C(=O)c2cccc3c(-c4ccc(C)s4)ccc(c23)C1=O,C(Cl)(Cl)Cl,4.196,39.1,0.783,0.614,0.047,0.071
CCCCCCN1C(=O)c2cccc3c(-c4ccc(OC)s4)ccc(c23)C1=O,C(Cl)(Cl)Cl,3.987,39.1,0.783,0.614,0.047,0.071
CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5cccs5)s4)ccc(c23)C1=O,C(Cl)(Cl)Cl,4.555,39.1,0.783,0.614,0.047,0.071
CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5ccc(-c6ccc7c8c(cccc68)C(=O)N(CCCCCC)C7=O)s5)s4)ccc(c23)C1=O,C(Cl)(Cl)Cl,4.179,39.1,0.783,0.614,0.047,0.071
O=c1oc2ccccc2cc1-c1cccc(-c2cc3ccccc3oc2=O)c1,C(Cl)(Cl)Cl,4.4378,39.1,0.783,0.614,0.047,0.071
COc1ccc2cc(-c3cccc(-c4cc5ccc(OC)cc5oc4=O)c3)c(=O)oc2c1,C(Cl)(Cl)Cl,4.6503,39.1,0.783,0.614,0.047,0.071
COc1cc(OC)c2cc(-c3cccc(-c4cc5c(OC)cc(OC)cc5oc4=O)c3)c(=O)oc2c1,C(Cl)(Cl)Cl,4.6435,39.1,0.783,0.614,0.047,0.071
O=c1oc2ccccc2cc1-c1ccc(-c2cc3ccccc3oc2=O)cc1,C(Cl)(Cl)Cl,4.5623,39.1,0.783,0.614,0.047,0.071
COc1ccc2cc(-c3ccc(-c4cc5ccc(OC)cc5oc4=O)cc3)c(=O)oc2c1,C(Cl)(Cl)Cl,4.699,39.1,0.783,0.614,0.047,0.071
COc1cc(OC)c2cc(-c3ccc(-c4cc5c(OC)cc(OC)cc5oc4=O)cc3)c(=O)oc2c1,C(Cl)(Cl)Cl,4.5988,39.1,0.783,0.614,0.047,0.071
NCCc1ccccc1-c1cc2ccccc2oc1=O,C(Cl)(Cl)Cl,4.2227,39.1,0.783,0.614,0.047,0.071
COc1ccc2cc(-c3ccccc3CCN)c(=O)oc2c1,C(Cl)(Cl)Cl,4.2945,39.1,0.783,0.614,0.047,0.071
COc1cc(OC)c2cc(-c3ccccc3CCN)c(=O)oc2c1,C(Cl)(Cl)Cl,4.3636,39.1,0.783,0.614,0.047,0.071
Cc1nc(-c2ccccc2O)n2c1CCCC2,C(Cl)Cl,5.3537,40.7,0.761,0.769,0.04,0.178
Cc1ccc(O)c(-c2nc(C)c3n2CCCC3)c1,C(Cl)Cl,5.2861,40.7,0.761,0.769,0.04,0.178
COc1ccc(O)c(-c2nc(C)c3n2CCCC3)c1,C(Cl)Cl,5.0256,40.7,0.761,0.769,0.04,0.178
Cc1nc(-c2cc(N)ccc2O)n2c1CCCC2,C(Cl)Cl,5.0162,40.7,0.761,0.769,0.04,0.178
CCCN1C(=O)c2c3c(c4c(c2C1=O)CCc1cc(-c2ccc(N(C)C)cc2)c(OC)cc1-4)-c1cc(OC)c(-c2ccc(N(C)C)cc2)cc1CC3,C1CCOC1,4.36,37.4,0.714,0.634,0,0.591
CCCN1C(=O)c2c3c(c4c(c2C1=O)CCc1cc(-c2ccc(N(C)C)cc2)c(OC)cc1-4)-c1cc(OC)c(-c2ccc(N(C)C)cc2)cc1CC3,CCOC(=O)C,4.35,38.1,0.656,0.603,0,0.542
CCCN1C(=O)c2c3c(c4c(c2C1=O)CCc1cc(-c2ccc(N(C)C)cc2)c(OC)cc1-4)-c1cc(OC)c(-c2ccc(N(C)C)cc2)cc1CC3,C(Cl)Cl,4.36,40.7,0.761,0.769,0.04,0.178
c1cc2c3c(cccc3c1)C(N1CCOCCOCCOCCOCC1)=N2,CC#N,3.6856,45.6,0.645,0.974,0.044,0.286
c1cc2c3c(cccc3c1)C(N1CCOCCNCCOCCOCC1)=N2,CC#N,3.6919,45.6,0.645,0.974,0.044,0.286
c1cc2c3c(cccc3c1)C(N1CCOCCOCCN(C3=Nc4cccc5cccc3c45)CCOCC1)=N2,CC#N,3.955,45.6,0.645,0.974,0.044,0.286
CS(=O)(=O)Nc1ccc(-c2c3nc(c(-c4ccc(NS(C)(=O)=O)cc4)c4ccc([nH]4)c(-c4ccc(NS(C)(=O)=O)cc4)c4nc(c(-c5ccc(NS(C)(=O)=O)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,CN(C)C=O,3.7924,43.2,0.759,0.977,0.031,0.613
CS(=O)(=O)Nc1cccc(-c2c3nc(c(-c4cccc(NS(C)(=O)=O)c4)c4ccc([nH]4)c(-c4cccc(NS(C)(=O)=O)c4)c4nc(c(-c5cccc(NS(C)(=O)=O)c5)c5ccc2[nH]5)C=C4)C=C3)c1,CN(C)C=O,3.5798,43.2,0.759,0.977,0.031,0.613
CCC[n+]1ccc(/C=C/c2ccc(N(C)C)cc2)cc1,CO,4.7404,55.4,0.608,0.904,0.605,0.545
CCC[n+]1ccc(/C=C/c2ccc(N(C)C)cc2)cc1,CCO,4.7404,51.9,0.633,0.783,0.4,0.658
CCC[n+]1ccc(/C=C/c2ccc(N(C)C)cc2)cc1,CS(=O)C,4.6812,45.1,0.83,1,0.072,0.647
CCC[n+]1ccc(/C=C/c2ccc(N(C)C)cc2)cc1,C(Cl)Cl,4.7324,40.7,0.761,0.769,0.04,0.178
CCC[n+]1ccc(/C=C/c2ccc(N(C)C)cc2)cc1,C(Cl)(Cl)Cl,4.7782,39.1,0.783,0.614,0.047,0.071
CCC[n+]1ccc(/C=C/c2ccc(N(C)C)cc2)cc1,C1COCCO1,4.699,36,0.737,0.312,0,0.444
CCC[n+]1ccc(/C=C/c2ccc(N(C)C)cc2)cc1,C1CCCCC1,4.7993,30.9,0.683,0,0,0.073
CN(C)c1ccc(/C=C/c2cc[n+](CCCOCC(COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)(COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)cc2)cc1,CO,5.1492,55.4,0.608,0.904,0.605,0.545
CN(C)c1ccc(/C=C/c2cc[n+](CCCOCC(COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)(COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)cc2)cc1,CCO,5.2148,51.9,0.633,0.783,0.4,0.658
CN(C)c1ccc(/C=C/c2cc[n+](CCCOCC(COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)(COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)cc2)cc1,CS(=O)C,5.1584,45.1,0.83,1,0.072,0.647
CN(C)c1ccc(/C=C/c2cc[n+](CCCOCC(COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)(COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)cc2)cc1,C(Cl)Cl,5.1303,40.7,0.761,0.769,0.04,0.178
CN(C)c1ccc(/C=C/c2cc[n+](CCCOCC(COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)(COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)cc2)cc1,C(Cl)(Cl)Cl,5.1903,39.1,0.783,0.614,0.047,0.071
CN(C)c1ccc(/C=C/c2cc[n+](CCCOCC(COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)(COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)COCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)cc2)cc1,C1COCCO1,5.1703,36,0.737,0.312,0,0.444
CN(C)c1ccc(/C=C/c2cc[n+](Cc3cc(C[n+]4ccc(/C=C/c5ccc(N(C)C)cc5)cc4)cc(C[n+]4ccc(/C=C/c5ccc(N(C)C)cc5)cc4)c3)cc2)cc1,CO,4.3979,55.4,0.608,0.904,0.605,0.545
CN(C)c1ccc(/C=C/c2cc[n+](Cc3cc(C[n+]4ccc(/C=C/c5ccc(N(C)C)cc5)cc4)cc(C[n+]4ccc(/C=C/c5ccc(N(C)C)cc5)cc4)c3)cc2)cc1,CCO,4.4472,51.9,0.633,0.783,0.4,0.658
CN(C)c1ccc(/C=C/c2cc[n+](Cc3cc(C[n+]4ccc(/C=C/c5ccc(N(C)C)cc5)cc4)cc(C[n+]4ccc(/C=C/c5ccc(N(C)C)cc5)cc4)c3)cc2)cc1,CS(=O)C,4.4771,45.1,0.83,1,0.072,0.647
CN(C)c1ccc(/C=C/c2cc[n+](Cc3cc(C[n+]4ccc(/C=C/c5ccc(N(C)C)cc5)cc4)cc(C[n+]4ccc(/C=C/c5ccc(N(C)C)cc5)cc4)c3)cc2)cc1,C(Cl)Cl,4.5185,40.7,0.761,0.769,0.04,0.178
CN(C)c1ccc(/C=C/c2cc[n+](Cc3cc(C[n+]4ccc(/C=C/c5ccc(N(C)C)cc5)cc4)cc(C[n+]4ccc(/C=C/c5ccc(N(C)C)cc5)cc4)c3)cc2)cc1,C(Cl)(Cl)Cl,4.4624,39.1,0.783,0.614,0.047,0.071
CN(C)c1ccc(/C=C/c2cc[n+](Cc3cc(C[n+]4ccc(/C=C/c5ccc(N(C)C)cc5)cc4)cc(C[n+]4ccc(/C=C/c5ccc(N(C)C)cc5)cc4)c3)cc2)cc1,C1COCCO1,4.4771,36,0.737,0.312,0,0.444
CCCCCCCCCCCCCCCCN(CCCCCCCCCCCCCCCC)c1ccc(/C=C/c2cc[n+](Cc3cc(C[n+]4ccc(/C=C/c5ccc(N(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)cc5)cc4)cc(C[n+]4ccc(/C=C/c5ccc(N(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)cc5)cc4)c3)cc2)cc1,CO,4.4771,55.4,0.608,0.904,0.605,0.545
CCCCCCCCCCCCCCCCN(CCCCCCCCCCCCCCCC)c1ccc(/C=C/c2cc[n+](Cc3cc(C[n+]4ccc(/C=C/c5ccc(N(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)cc5)cc4)cc(C[n+]4ccc(/C=C/c5ccc(N(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)cc5)cc4)c3)cc2)cc1,CCO,4.7782,51.9,0.633,0.783,0.4,0.658
CCCCCCCCCCCCCCCCN(CCCCCCCCCCCCCCCC)c1ccc(/C=C/c2cc[n+](Cc3cc(C[n+]4ccc(/C=C/c5ccc(N(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)cc5)cc4)cc(C[n+]4ccc(/C=C/c5ccc(N(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)cc5)cc4)c3)cc2)cc1,CS(=O)C,4.7404,45.1,0.83,1,0.072,0.647
CCCCCCCCCCCCCCCCN(CCCCCCCCCCCCCCCC)c1ccc(/C=C/c2cc[n+](Cc3cc(C[n+]4ccc(/C=C/c5ccc(N(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)cc5)cc4)cc(C[n+]4ccc(/C=C/c5ccc(N(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)cc5)cc4)c3)cc2)cc1,C(Cl)Cl,4.7853,40.7,0.761,0.769,0.04,0.178
CCCCCCCCCCCCCCCCN(CCCCCCCCCCCCCCCC)c1ccc(/C=C/c2cc[n+](Cc3cc(C[n+]4ccc(/C=C/c5ccc(N(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)cc5)cc4)cc(C[n+]4ccc(/C=C/c5ccc(N(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)cc5)cc4)c3)cc2)cc1,C(Cl)(Cl)Cl,4.7709,39.1,0.783,0.614,0.047,0.071
CCCCCCCCCCCCCCCCN(CCCCCCCCCCCCCCCC)c1ccc(/C=C/c2cc[n+](Cc3cc(C[n+]4ccc(/C=C/c5ccc(N(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)cc5)cc4)cc(C[n+]4ccc(/C=C/c5ccc(N(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)cc5)cc4)c3)cc2)cc1,C1COCCO1,4.6902,36,0.737,0.312,0,0.444
CCCCCCCCCCCCCCCCN(CCCCCCCCCCCCCCCC)c1ccc(/C=C/c2cc[n+](Cc3cc(C[n+]4ccc(/C=C/c5ccc(N(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)cc5)cc4)cc(C[n+]4ccc(/C=C/c5ccc(N(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)cc5)cc4)c3)cc2)cc1,C1CCCCC1,4.6628,30.9,0.683,0,0,0.073
CCCCCCCCCCCCCCCCN(CCCCCCCCCCCCCCCC)c1ccc(/C=C/c2cc[n+](Cc3cc(C[n+]4ccc(/C=C/c5ccc(N(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)cc5)cc4)cc(C[n+]4ccc(/C=C/c5ccc(N(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)cc5)cc4)c3)cc2)cc1,CC1=CC=CC=C1,4.7482,33.9,0.782,0.284,0,0.128
CCCCCCCCCCCCn1c(=O)c2ccc3c4ccc5c(=O)n(CCCCCCCCCCCC)c(=O)c6ccc(c7ccc(c1=O)c2c37)c4c56,CN(C)C=O,4.9427,43.2,0.759,0.977,0.031,0.613
O=c1c2ccc3c4ccc5c(=O)n(-c6ccc(Cl)cc6)c(=O)c6ccc(c7ccc(c(=O)n1-c1ccc(Cl)cc1)c2c37)c4c56,CN(C)C=O,4.955,43.2,0.759,0.977,0.031,0.613
NCCCCCCCCCCCCn1c(=O)c2ccc3c4ccc5c(=O)[nH]c(=O)c6ccc(c7ccc(c1=O)c2c37)c4c56,CN(C)C=O,4.6725,43.2,0.759,0.977,0.031,0.613
CCCCCCCCCCCCCCCCCCn1c(=O)c2ccc3c4ccc5c(=O)[nH]c(=O)c6ccc(c7ccc(c1=O)c2c37)c4c56,CN(C)C=O,4.9009,43.2,0.759,0.977,0.031,0.613
O=c1[nH]c(=O)c2ccc3c4ccc5c(=O)n(-c6ccc(O)cc6)c(=O)c6ccc(c7ccc1c2c73)c4c65,CN(C)C=O,4.6109,43.2,0.759,0.977,0.031,0.613
NCCCCCCCCCCCCn1c(=O)c2ccc3c4ccc5c(=O)n(-c6ccc(O)cc6)c(=O)c6ccc(c7ccc(c1=O)c2c37)c4c56,CN(C)C=O,4.735,43.2,0.759,0.977,0.031,0.613
Nc1ccc(-n2c(=O)c3ccc4c5ccc6c(=O)n(-c7ccc(O)cc7)c(=O)c7ccc(c8ccc(c2=O)c3c48)c5c67)cc1,CN(C)C=O,4.7207,43.2,0.759,0.977,0.031,0.613
Cc1cc(=O)oc2cc(/[NH+]=C/C=C3/C=C(C(=O)O)NC(C(=O)O)C3)ccc12,O,4.8129,63.1,0.681,0.997,1.062,0.025
O=C(O)C1=C/C(=C/C=[NH+]/c2ccc3c(C(F)(F)F)cc(=O)oc3c2)CC(C(=O)O)N1,O,4.8129,63.1,0.681,0.997,1.062,0.025
F[B-]1(F)OC(CCc2ccccc2)=C2CCc3ccccc3C2=[O+]1,C(Cl)Cl,4.605,40.7,0.761,0.769,0.04,0.178
COc1ccc2c(c1)CCC1=C(CCc3ccc(Cl)cc3)O[B-](F)(F)[O+]=C12,C(Cl)Cl,4.5977,40.7,0.761,0.769,0.04,0.178
COc1ccc2c(c1)CCC1=C(CCc3cc4ccccc4c4ccccc34)O[B-](F)(F)[O+]=C12,C(Cl)Cl,4.602,40.7,0.761,0.769,0.04,0.178
F[B-]1(F)OC(CCc2ccccc2)=CC(c2ccccc2)=[O+]1,C(Cl)Cl,4.588,40.7,0.761,0.769,0.04,0.178
COc1ccc(/C=C/C2=C3CCc4ccccc4C3=[O+][B-](F)(F)O2)cc1,C(Cl)Cl,4.5975,40.7,0.761,0.769,0.04,0.178
COc1ccc2cc(/C=C/C3=C4CCc5ccccc5C4=[O+][B-](F)(F)O3)ccc2c1,C(Cl)Cl,4.6037,40.7,0.761,0.769,0.04,0.178
F[B-]1(F)OC(/C=C/c2ccccc2)=CC(c2ccccc2)=[O+]1,C(Cl)Cl,4.732,40.7,0.761,0.769,0.04,0.178
COc1ccc(/C=C/C2=CC(c3ccccc3)=[O+][B-](F)(F)O2)cc1,C(Cl)Cl,4.6275,40.7,0.761,0.769,0.04,0.178
COc1ccc2cc(/C=C/C3=CC(c4ccccc4)=[O+][B-](F)(F)O3)ccc2c1,C(Cl)Cl,4.7025,40.7,0.761,0.769,0.04,0.178
O=C1/C(=C2\Sc3ccc(S(=O)(=O)Cl)cc3C2=O)Sc2ccc(S(=O)(=O)Cl)cc21,CS(=O)C,4.1711,45.1,0.83,1,0.072,0.647
O=C1/C(=C2\Sc3ccc(S(=O)(=O)Nc4ccccc4)cc3C2=O)Sc2ccc(S(=O)(=O)Nc3ccccc3)cc21,CS(=O)C,4.1294,45.1,0.83,1,0.072,0.647
O=C1/C(=C2\Sc3ccc(S(=O)(=O)Nc4ccccc4)cc3C2=O)Sc2ccc(S(=O)(=O)Nc3ccccc3)cc21,C1COCCO1,4.1855,36,0.737,0.312,0,0.444
CCCCn1c(-c2ccc(-c3nnc(-c4ccccc4)o3)cc2)nc(-c2ccccc2)c1-c1ccccc1,C(Cl)Cl,4.43,40.7,0.761,0.769,0.04,0.178
CCCCn1c(-c2ccc(-c3nnc(-c4ccc5ccccc5c4)o3)cc2)nc(-c2ccccc2)c1-c1ccccc1,C(Cl)Cl,4.42,40.7,0.761,0.769,0.04,0.178
CCCCn1c(-c2ccc(-c3nnc(-c4cccs4)o3)cc2)nc(-c2ccccc2)c1-c1ccccc1,C(Cl)Cl,4.5,40.7,0.761,0.769,0.04,0.178
CCCCn1c(-c2ccc(-c3nnc(-c4ccc5ccccc5c4)o3)cc2)nc2c3ccccc3c3ccccc3c21,C(Cl)Cl,4.41,40.7,0.761,0.769,0.04,0.178
CCCCn1c(-c2ccc(-c3nnc(-c4ccc(-c5nc(-c6ccccc6)c(-c6ccccc6)n5CCCC)cc4)o3)cc2)nc(-c2ccccc2)c1-c1ccccc1,C(Cl)Cl,4.57,40.7,0.761,0.769,0.04,0.178
CCCCn1c(-c2ccc(-c3nnc(-c4ccc(-c5nc6c7ccccc7c7ccccc7c6n5CCCC)cc4)o3)cc2)nc2c3ccccc3c3ccccc3c21,C(Cl)Cl,4.67,40.7,0.761,0.769,0.04,0.178
COc1c2ccccc2c(OC)c2c1c1c(F)cccc1n2C,C1CCCCC1,4.0899,30.9,0.683,0,0,0.073
[O-][n+]1c(/C=C/c2ccccc2)nc(N2CCOCC2)c2c1CCCC2,C(Cl)Cl,3.6435,40.7,0.761,0.769,0.04,0.178
Cc1cccc(C)c1/C=C/c1nc(N2CCOCC2)c2c([n+]1[O-])CCCC2,C(Cl)Cl,3.716,40.7,0.761,0.769,0.04,0.178
CN(C)c1ccc(/C=C/c2nc(N3CCOCC3)c3c([n+]2[O-])CCCC3)cc1,C(Cl)Cl,4.5185,40.7,0.761,0.769,0.04,0.178
COc1ccc(/C=C/c2nc(N3CCOCC3)c3c([n+]2[O-])CCCC3)cc1,C(Cl)Cl,3.7993,40.7,0.761,0.769,0.04,0.178
