SMILES,Solvent,Ex (nm),Em (nm),ST (nm),QY,AC(cm-1M-1),LogAC
[C-][N+]c1cccc2c(N)cccc12,DMF,369,491,122,0.48,NA,NA
[C-][N+]c1cccc2c(N)cccc12,DMSO,372,497,125,0.74,NA,NA
[C-][N+]c1cccc2c(N)cccc12,Ethyl acetate,360,464,104,0.45,NA,NA
[C-][N+]c1cccc2c(N)cccc12,Hexane,350,409,59,0.55,NA,NA
[C-][N+]c1cccc2c(N)cccc12,MeCN,361,483,122,0.38,NA,NA
[C-][N+]c1cccc2c(N)cccc12,MeOH,365,494,129,0.54,NA,NA
[C-][N+]c1cccc2c(N)cccc12,Pyridine,368,490,122,0.28,NA,NA
[C-][N+]c1cccc2c(N)cccc12,THF,365,465,100,0.66,NA,NA
[C-][N+]c1cccc2c(N)cccc12,Toluene,354,433,79,0.66,NA,NA
[c-]1cccc2ccc3cccnc3c12,THF,NA,NA,NA,NA,28800,4.4594
[CH](c1ccccc1)c1ccccc1,MeCN,NA,NA,NA,NA,44000,4.6435
[CH2-]C(=O)c1ccc2c(c1)c1cc(C(C)=O)ccc1n2-c1cc(Cl)c(C(c2c(Cl)cc(Cl)cc2Cl)c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,THF,NA,NA,NA,NA,31000,4.4914
[Cu],CHCl3,485,NA,NA,NA,NA,NA
[H]/[NH+]=c1/ccc2c(-c3cc(C(=O)[O-])ccc3C(=O)[O-])c3ccc(N)c(S(=O)(=O)[O-])c3oc-2c1S(=O)(=O)[O-],H2O,490,510,20,NA,NA,NA
[H]/[NH+]=c1/ccc2c(-c3ccccc3C(=O)[O-])c3ccc(N)cc3oc-2c1,H2O,479,520,41,0.88,NA,NA
[H]/[NH+]=c1/ccc2cc3ccc(N)cc3n(CCCC(=O)O)c-2c1,H2O,453,507,54,NA,NA,NA
[H]/[NH+]=c1\ccc2c(-c3ccccc3C(=O)N(C)CCCC(=O)O)c3ccc(N)c(S(=O)(=O)[O-])c3oc-2c1S(=O)(=O)O,H2O,500,525,25,NA,NA,NA
[H][C@@]12C=CC=C[C@H]1[C@@H]1CCCC[C@H]1N(Cc1ccccc1)C2=O,EtOH,NA,NA,NA,NA,3100,3.4914
[H][C@@]12CCCC[C@H]1[C@@H]1C=CC=C[C@H]1C(=O)N2Cc1ccccc1,EtOH,NA,NA,NA,NA,3100,3.4914
[H][C@@]12CCCC[C@H]1[C@@H]1C=CCC=C1C(=O)N2Cc1ccccc1,EtOH,NA,NA,NA,NA,6300,3.7993
[H]C=CC1=C(n2ccc(=O)[nH]c2=O)O[C@H](CO[Si](C)(C)C(C)(C)C)[C@H]1O[Si](C)(C)C(C)(C)C,MeOH,251,NA,NA,NA,NA,NA
[H]C1([H])N(c2ccc3c(-c4ccccc4C(=O)[O-])c4ccc(=[N+]5C([H])([H])C([H])([H])C([H])([H])C([H])([H])C5([H])[H])cc-4oc3c2)C([H])([H])C([H])([H])C([H])([H])C1([H])[H],H2O,NA,NA,NA,NA,92600,4.9666
[H]C1([H])N(c2ccc3c(-c4ccccc4C(=O)[O-])c4ccc(=[N+]5C([H])([H])C([H])([H])C([H])([H])C5([H])[H])cc-4oc3c2)C([H])([H])C([H])([H])C1([H])[H],H2O,NA,NA,NA,NA,104000,5.017
[H]C1([H])N(c2ccc3c(-c4ccccc4C(=O)[O-])c4ccc(=[N+]5C([H])([H])C([H])([H])C5([H])[H])cc-4oc3c2)C([H])([H])C1([H])[H],H2O,NA,NA,NA,NA,96700,4.9854
[H]C1([H])OC([H])([H])C([H])([H])N(c2ccc3c(-c4ccccc4C(=O)[O-])c4ccc(=[N+]5C([H])([H])C([H])([H])OC([H])([H])C5([H])[H])cc-4oc3c2)C1([H])[H],H2O,NA,NA,NA,NA,87800,4.9435
[H]C1C=C[C@@H]2C(=C1)C(=O)N(Cc1ccccc1)[C@@H]1CCCC[C@@H]21,EtOH,NA,NA,NA,NA,6300,3.7993
[H]c1c2nc(c(-c3ccccc3)c3ccc([nH]3)c(CCCC)c3nc(c(-c4ccccc4)c4ccc1[nH]4)C=C3)C=C2,CH2Cl2,NA,NA,NA,NA,138038,5.14
[H]c1c2nc(cc3[nH]c(c([H])c4nc(cc5[nH]c1c(CC)c5C)C([H])C4[H])c(CCC(=O)OC)c3C)C(C)=C2CC,CH2Cl2,NA,NA,NA,NA,158900,5.2011
[H]CC1=C(n2ccc(=O)[nH]c2=O)O[C@H](CO[Si](C)(C)C(C)(C)C)[C@H]1O[Si](C)(C)C(C)(C)C,MeOH,255,NA,NA,NA,NA,NA
[N]=[C]/C(=C\c1ccc(OCc2cc(OCc3ccccc3)cc(OCc3ccccc3)c2)cc1)c1ccc(/C2=C3\C=CC(=N3)/C(c3ccc(C(=O)O)cc3)=c3/cc/c4n3[Zn]n3c2ccc3/C(c2ccc(/C([C]=[N])=C/c3ccc(OCc5cc(OCc6ccccc6)cc(OCc6ccccc6)c5)cc3)cc2)=C2/C=CC(=N2)/C=4c2ccc(/C([C]=[N])=C/c3cccc(OCc4cc(OCc5ccccc5)cc(OCc5ccccc5)c4)c3)cc2)cc1,THF,600,658,58,NA,NA,NA
[N-]=[N+]=NCc1ccc2c(c1)c1cccc3cnc2n31,MeOH,423,468,45,0.46,NA,NA
[NH-]c1c(Cl)c(Cl)c([C](c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,DMSO,NA,NA,NA,NA,15800,4.1987
[NH-]c1cc(N)cc(-c2nc3ccccc3s2)c1,H2O,343,484,141,0.002,13002,4.114
[NH-]Cc1ccc2c(c1)c1cc(CN)ccc1n2-c1cc(Cl)c(C(c2c(Cl)cc(Cl)cc2Cl)c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,THF,NA,NA,NA,NA,32200,4.5079
[NH2+]=C1C(c2ccc(O)cc2)=CC2=Cc3ccc(-c4ccccc4)n3[B-](F)(F)N12,EtOH,515,NA,NA,NA,19420,4.2882
[NH2+]=C1c2cccn2[B-](F)(F)n2cccc21,MeOH,399,438,39,0.92,NA,NA
[NH2+]=C1c2cccn2[B-](F)(F)n2cccc21,Ethyl acetate,406,444,38,1,NA,NA
[NH2+]=c1ccc2c(-c3ccc(-c4ccccc4)cc3)c3c(cc4n3CCCCCC=C4)oc-2c1,H2O,530,570,40,NA,NA,NA
[NH2+]=c1ccc2c(-c3ccc(-c4ccccc4)cc3)c3ccc(O)cc3oc-2c1,H2O,500,535,35,NA,NA,NA
[NH2+]=c1ccc2c(-c3ccc(C4OCCCO4)cc3)c3c(cc4n3CCCCCC=C4)oc-2c1,H2O,540,585,45,NA,NA,NA
[NH2+]=c1ccc2c(-c3ccc(CN4CCC5(CC4)OCCO5)cc3)c3ccc(N4CCCCC4)cc3oc-2c1,H2O,535,570,35,NA,NA,NA
[NH2+]=c1ccc2c(-c3ccc(CN4CCCCC4)cc3)c3c(cc4n3CCCCCC=C4)oc-2c1,H2O,540,565,25,NA,NA,NA
[NH2+]=c1ccc2c(-c3ccc(F)cc3)c3ccc(N4CCCCC4)cc3oc-2c1,H2O,535,575,40,NA,NA,NA
[NH2+]=c1ccc2c(-c3ccc(Oc4ccccc4)cc3)c3c(cc4n3CCCCCC=C4)oc-2c1,H2O,532,570,38,NA,NA,NA
[NH2+]=c1ccc2c(-c3ccc4c(c3)OCO4)c3c(cc4n3CCCCCC=C4)oc-2c1,H2O,535,575,40,NA,NA,NA
[NH2+]=c1ccc2c(-c3ccc4c(c3)OCO4)c3ccc(O)cc3oc-2c1,H2O,500,530,30,NA,NA,NA
[NH2+]=c1ccc2c(-c3ccc4ccccc4c3)c3c(cc4n3CCCCCC=C4)oc-2c1,H2O,535,575,40,NA,NA,NA
[NH2+]=c1ccc2c(-c3ccc4ccccc4c3)c3ccc(O)cc3oc-2c1,H2O,500,530,30,NA,NA,NA
[NH2+]=c1ccc2c(-c3cccc(Cl)c3)c3ccc(N4CCCCC4)cc3oc-2c1,H2O,540,575,35,NA,NA,NA
[NH2+]=c1ccc2c(-c3cccc(CN4CCCCC4)c3)c3c(cc4n3CCCCCC=C4)oc-2c1,H2O,540,565,25,NA,NA,NA
[NH2+]=c1ccc2c(-c3cccc(CN4CCOCC4)c3)c3c(cc4n3CCCCCC=C4)oc-2c1,H2O,535,560,25,NA,NA,NA
[NH2+]=c1ccc2c(-c3cccc(F)c3)c3ccc(N4CCCCC4)cc3oc-2c1,H2O,540,575,35,NA,NA,NA
[NH2+]=c1ccc2c(-c3ccccc3)c3ccc(N4CCCCC4)cc3oc-2c1,H2O,535,575,40,NA,NA,NA
[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)[O-],H2O,277,350,73,0.15,5358,3.729
[NH3+]c1cc([NH3+])cc(-c2[nH+]c3ccccc3s2)c1,H2O,328,460,132,0.008,19364,4.287
[NH3+]c1cc([NH3+])cc(-c2nc3ccccc3s2)c1,H2O,315,402,87,0.011,17640,4.2465
[NH3+]c1ccc2c(c1)Cc1ccccc1-2,H2O,299,314,15,NA,8511,3.93
[NH3+]c1ccc2ccc([O-])cc2c1,H2O,NA,425,NA,NA,NA,NA
[NH3+]c1ccc2ccc(O)cc2c1,H2O,328,357,29,NA,NA,NA
[NH3+]Cc1ccc2c(c1)c1cccc3cnc2n31,MeOH,424,467,43,0.43,NA,NA
[O-][Cl+3]([O-])([O-])[O-],Acetone,602,NA,NA,NA,28000,4.4472
[O-][N+]([O-])=C1C=CC(=C/N=N\c2nc3ccccc3c3ccccc23)C=C1,EtOH,NA,NA,NA,NA,29512,4.47
[O-][N+](=Cc1c2ccccc2nc2c(F)c(F)c(F)c(F)c12)c1ccccc1,EtOH,NA,NA,NA,NA,95499,4.98
[O-][N+]1=C(Cc2ccccc2)C(c2ccccc2)CN(Cc2ccccc2)C1,EtOH,NA,NA,NA,NA,10000,4
[O-][N+]1=C(Cc2ccccc2)C(c2ccccc2)CN(Cc2ccccc2)C1c1ccccc1,EtOH,NA,NA,NA,NA,10000,4
[O-][n+]1c(/C=C/c2cc3cccc4c5cccc6cccc(c(c2)c34)c65)nc(N2CCOCC2)c2c1CCCC2,CH2Cl2,470,575,105,0.04,29000,4.4624
[O-][n+]1c(/C=C/c2ccc(/C=C/c3ccccc3)cc2)nc(N2CCOCC2)c2c1CCCC2,CH2Cl2,406,531,125,0.04,10000,4
[O-][n+]1c(/C=C/c2ccc3ccccc3c2)nc(N2CCOCC2)c2c1CCCC2,CH2Cl2,400,546,146,0.05,10000,4
[O-][n+]1c(/C=C/c2ccccc2)nc(N2CCOCC2)c2c1CCCC2,CH2Cl2,400,535,135,0.21,4400,3.6435
[O-][n+]1c(/C=C/c2cccs2)nc(N2CCOCC2)c2c1CCCC2,CH2Cl2,400,534,134,0.006,4000,3.6021
[O-][n+]1c(C(c2ccccc2)c2ccccc2)c2ccccc2c2ccccc21,EtOH,NA,NA,NA,NA,15136,4.18
[O-][n+]1c(-c2ccc(Br)cc2)cc(N2CCOCC2)nc1/C=C/c1ccccc1,CH2Cl2,445,548,103,0.15,3700,3.5682
[O-][n+]1c(-c2ccccc2)cc(N2CCOCC2)nc1/C=C/c1ccccc1,CH2Cl2,445,548,103,0.2,4200,3.6232
[O-][n+]1c2ccccc2c(O)c2cc(Cl)ccc21,MeOH,NA,NA,NA,NA,6607,3.82
[O-][n+]1cc2ccccc2c2ccccc21,EtOH,NA,NA,NA,NA,13490,4.13
[O-][s+]1c2ccc(-c3c4ccccc4cc4ccccc34)cc2c2cc(-c3c4ccccc4cc4ccccc34)ccc21,MeCN,NA,508,NA,0.14,NA,NA
[O-][s+]1c2ccccc2c2cc(-c3c4ccccc4cc4ccccc34)ccc21,MeCN,NA,504,NA,0.13,NA,NA
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,CH2Cl2,702,NA,NA,NA,NA,NA
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,CHCl3,731,NA,NA,NA,NA,NA
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,Me-THF,783,NA,NA,NA,NA,NA
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,Ethyl acetate,750,NA,NA,NA,NA,NA
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,Pyridine,706,NA,NA,NA,NA,NA
[O-]c1c(-c2ccccc2)sc(-c2ccccc2)[n+]1-c1ccc(C(c2ccc(-[n+]3c(-c4ccccc4)sc(-c4ccccc4)c3[O-])cc2)c2ccc(-[n+]3c(-c4ccccc4)sc(-c4ccccc4)c3[O-])cc2)cc1,CHCl3,NA,NA,NA,NA,46773,4.67
[O-]c1c(-c2ccccc2)sc(-c2ccccc2)[n+]1-c1ccc(Cc2ccc(-[n+]3c(-c4ccccc4)sc(-c4ccccc4)c3[O-])cc2)cc1,CHCl3,NA,NA,NA,NA,30903,4.49
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,MeCN,514,554,40,NA,NA,NA
[O-]c1ccc(Br)cc1C=Nc1cccc2ccc(-c3nc4ccccc4[nH]3)nc12,Toluene,318,NA,NA,NA,NA,NA
[O-]c1ccc2ccccc2c1,H2O,346,414,68,NA,NA,NA
[O]c1cccc2c1C(=O)c1c([O-])cccc1C2=O,H2O,NA,NA,NA,NA,8300,3.9191
[O]c1cccc2c1C(=O)c1cccc([O-])c1C2=O,H2O,NA,NA,NA,NA,10500,4.0212
[O-]c1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1[O-],THF,380,490,110,NA,NA,NA
[O-]c1ccccc1C=Nc1cccc2ccc(-c3nc4ccccc4[nH]3)nc12,Toluene,318,NA,NA,NA,NA,NA
[O-]c1ccccc1-c1[nH+]c2c3ccccc3c3ccccc3c2o1,Toluene,NA,495,NA,0.111,NA,NA
[O-]c1ccccc1-c1[nH+]c2c3cccnc3c3ncccc3c2n1-c1ccccc1,Toluene,NA,484,NA,0.125,NA,NA
[SiH2-2],Acetone,448,NA,NA,NA,NA,NA
B1C=Cc2c(ccc3ccccc23)N1,Cyclohexane,345,348,3,0.79,28990,4.4622
B1C=Cc2cc3c(cc2N1)C=CBN3,Cyclohexane,357,403,46,0.38,28010,4.4473
B1C=Cc2cc3ccccc3cc2N1,Cyclohexane,359,403,44,0.38,27860,4.445
B1C=Cc2ccc3ccccc3c2N1,Cyclohexane,352,354,2,0.56,28410,4.4535
B1Nc2ccccc2-c2ccccc21,Cyclohexane,326,327,1,NA,30670,4.4867
Br/C=C/c1c2nc(c(-c3ccccc3)c3ccc(cc4nc(c(-c5ccccc5)c5ccc1[nH]5)C=C4)[nH]3)C=C2,THF,NA,NA,NA,NA,457088,5.66
BrC(Br)=Cc1cc2[nH]c1c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc([nH]3)c(-c3ccccc3)c3nc(c2-c2ccccc2)C=C3)C=C1,MeCN,NA,NA,NA,NA,119673,5.078
BrC1=C(Br)C2=C(c3ccc(Br)cc3)c3c(Br)c(Br)c4n3[Zn+2]n3c(c(Br)c(Br)c3=C(c3ccc(Br)cc3)C3=NC(=C4c4ccc(Br)cc4)C(Br)=C3Br)=C(c3ccc(Br)cc3)C1=N2,CHCl3,NA,NA,NA,NA,263027,5.42
BrC1=C(Br)C2=C(c3ccc(Br)cc3)c3ccc4n3[Zn+2]n3c(ccc3=C(c3ccc(Br)cc3)C3=NC(=C4c4ccc(Br)cc4)C(Br)=C3Br)=C(c3ccc(Br)cc3)C1=N2,CHCl3,NA,NA,NA,NA,323594,5.51
BrC1=C(Br)C2=C(c3ccc(Br)s3)c3c(Br)c(Br)c4n3[Zn+2]n3c(c(Br)c(Br)c3=C(c3ccc(Br)s3)C3=NC(=C4c4ccc(Br)s4)C(Br)=C3Br)=C(c3ccc(Br)s3)C1=N2,CH2Cl2,NA,NA,NA,NA,295121,5.47
BrC1=C(Br)C2=C(c3ccccc3)c3c(Br)c(Br)c4n3[Ag+2]n3c(c(Br)c(Br)c3=C(c3ccccc3)C3=NC(=C4c4ccccc4)C(Br)=C3Br)=C(c3ccccc3)C1=N2,THF,NA,NA,NA,NA,110500,5.0434
BrC1=C(Br)C2=C(c3ccccc3)c3c(Br)c(Br)c4n3[Co+2]n3c(c(Br)c(Br)c3=C(c3ccccc3)C3=NC(=C4c4ccccc4)C(Br)=C3Br)=C(c3ccccc3)C1=N2,CHCl3,NA,NA,NA,NA,165959,5.22
BrC1=C(Br)C2=C(c3ccccc3)c3c(Br)c(Br)c4n3[Co+2]n3c(c(Br)c(Br)c3=C(c3ccccc3)C3=NC(=C4c4ccccc4)C(c4ccccc4)=C3c3ccccc3)=C(c3ccccc3)C1=N2,CH2Cl2,NA,NA,NA,NA,104713,5.02
BrC1=C(Br)C2=C(c3ccccc3)c3c(Br)c(Br)c4n3[Ni+2]n3c(c(Br)c(Br)c3=C(c3ccccc3)C3=NC(=C4c4ccccc4)C(Br)=C3Br)=C(c3ccccc3)C1=N2,CH2Cl2,NA,NA,NA,NA,281838,5.45
BrC1=C(Br)C2=C(c3ccccc3)c3c(Br)c(Br)c4n3[Ni+2]n3c(c(Br)c(Br)c3=C(c3ccccc3)C3=NC(=C4c4ccccc4)C(c4ccccc4)=C3c3ccccc3)=C(c3ccccc3)C1=N2,CH2Cl2,NA,NA,NA,NA,151356,5.18
BrC1=C(Br)C2=C(c3ccccc3)c3c(Br)c(Br)c4n3[Pd+2]n3c(c(Br)c(Br)c3=C(c3ccccc3)C3=NC(=C4c4ccccc4)C(Br)=C3Br)=C(c3ccccc3)C1=N2,CH2Cl2,NA,NA,NA,NA,199526,5.3
BrC1=C(Br)C2=C(c3ccccc3)c3c(Br)c(Br)c4n3[Pd+2]n3c(c(Br)c(Br)c3=C(c3ccccc3)C3=NC(=C4c4ccccc4)C(Br)=C3Br)=C(c3ccccc3)C1=N2,CHCl3,NA,NA,NA,NA,218776,5.34
BrC1=C(Br)C2=C(c3ccccc3)c3c(Br)c(Br)c4n3[Zn+2]n3c(c(Br)c(Br)c3=C(c3ccccc3)C3=NC(=C4c4ccccc4)C(c4ccccc4)=C3c3ccccc3)=C(c3ccccc3)C1=N2,CH2Cl2,NA,NA,NA,NA,117490,5.07
BrC1=C(Br)C2=C(c3ccccc3)c3ccc4n3[Cd+2]n3c(ccc3=C(c3ccccc3)C3=NC(=C4c4ccccc4)C(Br)=C3Br)=C(c3ccccc3)C1=N2,DMF,NA,NA,NA,NA,169824,5.23
BrC1=C(Br)C2=C(c3ccccc3)c3ccc4n3[Pd+2]n3c(ccc3=C(c3ccccc3)C3=NC(=C4c4ccccc4)C(Br)=C3Br)=C(c3ccccc3)C1=N2,CHCl3,NA,NA,NA,NA,173780,5.24
BrC1=C(Br)c2nc1c(-c1ccccc1)c1[n-]c(c(Br)c1Br)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3[n-]c(c(Br)c3Br)c2-c2ccccc2)C(Br)=C1Br,MeCN,NA,NA,NA,NA,199526,5.3
BrC1=C(Br)c2nc1c(-c1ccccc1)c1[nH]c(c(Br)c1Br)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3[nH]c(c(Br)c3Br)c2-c2ccccc2)C(Br)=C1Br,Triethylamine,NA,NA,NA,NA,162181,5.21
BrC1=C(Br)c2nc1c(-c1ccccc1)c1[nH]c(c(Br)c1Br)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3[nH]c(c(Br)c3Br)c2-c2ccccc2)C(Br)=C1Br,CHCl3,NA,NA,NA,NA,223872,5.35
BrC1=C(Br)c2nc1c(-c1ccccc1)c1[nH]c(c(Br)c1Br)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3[nH]c(c(Br)c3Br)c2-c2ccccc2)C(Br)=C1Br,DCB,NA,NA,NA,NA,181970,5.26
BrC1=C(Br)c2nc1c(-c1ccccc1)c1[nH]c(c(Br)c1Br)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3[nH]c(c(Br)c3Br)c2-c2ccccc2)C(Br)=C1Br,Ethyl acetate,NA,NA,NA,NA,162181,5.21
BrC1=C(Br)c2nc1c(-c1ccccc1)c1[nH]c(c(Br)c1Br)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3[nH]c(c(Br)c3Br)c2-c2ccccc2)C(Br)=C1Br,MeCN,NA,NA,NA,NA,177828,5.25
BrC1=C(Br)c2nc1c(-c1ccccc1)c1[nH]c(c(Br)c1Br)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3[nH]c(c(Br)c3Br)c2-c2ccccc2)C(Br)=C1Br,Toluene,NA,NA,NA,NA,177828,5.25
BrC1=C(Br)c2nc1c(-c1ccccc1)c1[nH]c(c(Br)c1Br)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3[nH]c(c(Br)c3Br)c2-c2ccccc2)C(Br)=C1Br,DMF,NA,NA,NA,NA,125893,5.1
BrC1=C(Br)c2nc1c(-c1ccccc1)c1[nH]c(c(Br)c1Br)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3[nH]c(c(Br)c3Br)c2-c2ccccc2)C(Br)=C1Br,CH2Cl2,NA,NA,NA,NA,154882,5.19
